page|70
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|661,613,201.03|432,527,806.81
结算备付金||
拆出资金||
page|71
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
交易性金融资产|43,845,897.67|401,240,000.00
衍生金融资产||
应收票据||
应收账款|186,234,036.13|79,369,245.71
应收款项融资||
预付款项|4,532,878.12|376,111.90
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|2,444,865.28|1,276,915.20
其中：应收利息||
应收股利||
买入返售金融资产||
存货|21,988,362.57|7,380,974.43
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|12,501,969.95|15,138,736.10
流动资产合计|933,161,210.75|937,309,790.15
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产|5,000,000.00|
投资性房地产||
固定资产|97,438,658.22|95,239,270.69
在建工程|69,720,990.28|14,320,763.37
生产性生物资产||
油气资产||
使用权资产||
page|72
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
无形资产|27,649,126.42|28,809,091.31
开发支出||
商誉||
长期待摊费用|2,994,477.86|1,715,193.25
递延所得税资产|2,453,209.12|1,049,374.24
其他非流动资产|9,176,998.96|
非流动资产合计|214,433,460.86|141,133,692.86
资产总计|1,147,594,671.61|1,078,443,483.01
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|113,103,367.83|100,507,071.40
预收款项||
合同负债|241,881.30|1,110,275.72
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|9,021,244.93|8,203,909.51
应交税费|5,516,852.40|6,951,091.47
其他应付款|1,697,849.80|3,110,748.95
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|129,581,196.26|119,883,097.05
page|73
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|284,202.25|620,437.65
递延所得税负债|961,474.42|310,000.00
其他非流动负债||
非流动负债合计|1,245,676.67|930,437.65
负债合计|130,826,872.93|120,813,534.70
所有者权益：||
股本|240,000,000.00|240,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|439,860,534.95|439,860,534.95
减：库存股||
其他综合收益||
专项储备||
盈余公积|28,831,084.68|24,376,680.56
一般风险准备||
未分配利润|307,896,480.63|253,392,732.80
归属于母公司所有者权益合计|1,016,588,100.26|957,629,948.31
少数股东权益|179,698.42|
所有者权益合计|1,016,767,798.68|957,629,948.31
负债和所有者权益总计|1,147,594,671.61|1,078,443,483.01
