page|147
项目|附注五|本期金额|上期金额
一、营业总收入||17,943,256,595.29|11,511,316,766.18
其中：营业收入|（四十一）|17,943,256,595.29|11,511,316,766.18
二、营业总成本||15,152,791,501.35|9,505,306,548.94
其中：营业成本|（四十一）|11,516,171,509.54|7,138,771,496.06
税金及附加|（四十二）|102,114,649.65|59,012,716.42
销售费用|（四十三）|1,050,429,475.90|759,197,883.13
管理费用|（四十四）|866,070,345.77|580,265,065.70
研发费用|（四十五）|1,685,457,195.96|1,023,233,534.79
财务费用|（四十六）|-67,451,675.47|-55,174,147.16
其中：利息费用||69,881,224.55|78,923,740.90
利息收入||95,077,121.16|67,227,950.76
加：其他收益|（四十七）|588,957,979.34|384,050,927.26
投资收益（损失以“-”号填列）|（四十八）|434,418,788.64|153,316,960.83
其中：对联营企业和合营企业的投资收益||377,999,400.69|76,956,670.91
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“-”号填列）|（四十九）|254,883,911.01|-31,362,768.17
信用减值损失（损失以“-”号填列）|（五十）|-84,748,379.07|-69,979,691.36
资产减值损失（损失以“-”号填列）|（五十一）|-160,324,519.16|-91,714,935.41
资产处置收益（损失以“-”号填列）|（五十二）|-1,868,137.45|-2,730,384.25
三、营业利润（亏损以“-”号填列）||3,821,784,737.25|2,347,590,326.14
加：营业外收入|（五十三）|18,362,292.06|21,064,458.03
减：营业外支出|（五十四）|20,980,446.79|25,120,196.04
四、利润总额（亏损总额以“-”号填列）||3,819,166,582.52|2,343,534,588.13
减：所得税费用|（五十五）|138,242,048.63|161,837,003.17
五、净利润（净亏损以“-”号填列）||3,680,924,533.89|2,181,697,584.96
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||3,680,924,533.89|2,181,697,584.96
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||3,573,404,586.07|2,100,142,115.63
2．少数股东损益（净亏损以“-”号填列）||107,519,947.82|81,555,469.33
六、其他综合收益的税后净额||-607,876.90|-8,732,843.25
归属于母公司所有者的其他综合收益的税后净额||-607,876.90|-8,732,847.88
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-607,876.90|-8,732,847.88
1．权益法下可转损益的其他综合收益|||
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用减值准备|||
5．现金流量套期储备|||
6．外币财务报表折算差额||-607,876.90|-8,732,847.88
7．其他|||
归属于少数股东的其他综合收益的税后净额|||4.63
七、综合收益总额||3,680,316,656.99|2,172,964,741.71
归属于母公司所有者的综合收益总额||3,572,796,709.17|2,091,409,267.75
归属于少数股东的综合收益总额||107,519,947.82|81,555,473.96
八、每股收益：|||
（一）基本每股收益（元/股）||1.37|0.81
（二）稀释每股收益（元/股）||1.36|0.81
