page|115
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|4,041,770,555.53|3,544,196,427.56
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|6,338,399.62|2,830,544.37
收到其他与经营活动有关的现金|302,967,636.40|238,249,215.54
经营活动现金流入小计|4,351,076,591.55|3,785,276,187.47
购买商品、接受劳务支付的现金|1,888,473,118.22|1,482,310,384.90
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|516,647,084.57|453,417,871.36
支付的各项税费|37,848,194.02|35,640,321.43
支付其他与经营活动有关的现金|538,653,255.07|448,669,842.74
经营活动现金流出小计|2,981,621,651.88|2,420,038,420.43
经营活动产生的现金流量净额|1,369,454,939.67|1,365,237,767.04
二、投资活动产生的现金流量：||
收回投资收到的现金|14,382,591.49|17,440,087.65
取得投资收益收到的现金|19,471,182.29|9,979,634.77
page|116
处置固定资产、无形资产和其他长期资产收回的现金净额|14,039,920.19|6,455,813.04
处置子公司及其他营业单位收到的现金净额|341,794,284.41|79,103,701.53
收到其他与投资活动有关的现金|40,740,128.43|14,087,261.85
投资活动现金流入小计|430,428,106.81|127,066,498.84
购建固定资产、无形资产和其他长期资产支付的现金|448,263,891.65|299,913,795.02
投资支付的现金|28,199,000.00|137,051,377.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|524,340,519.57|225,787,555.85
投资活动现金流出小计|1,000,803,411.22|662,752,727.87
投资活动产生的现金流量净额|-570,375,304.41|-535,686,229.03
三、筹资活动产生的现金流量：||
吸收投资收到的现金|101,211,500.00|11,653,500.00
其中：子公司吸收少数股东投资收到的现金|101,211,500.00|11,653,500.00
取得借款收到的现金|3,269,900,000.00|5,902,386,070.00
收到其他与筹资活动有关的现金|70,424,610.41|121,991,900.00
筹资活动现金流入小计|3,441,536,110.41|6,036,031,470.00
偿还债务支付的现金|3,744,400,000.00|6,697,797,540.00
分配股利、利润或偿付利息支付的现金|276,569,058.85|359,587,244.46
其中：子公司支付给少数股东的股利、利润|93,099,113.65|81,584,659.22
支付其他与筹资活动有关的现金|49,748,781.86|15,359,922.34
筹资活动现金流出小计|4,070,717,840.71|7,072,744,706.80
筹资活动产生的现金流量净额|-629,181,730.30|-1,036,713,236.80
四、汇率变动对现金及现金等价物的影响|-6,397,199.20|-3,766,834.93
五、现金及现金等价物净增加额|163,500,705.76|-210,928,533.72
加：期初现金及现金等价物余额|1,614,291,357.02|1,825,219,890.74
六、期末现金及现金等价物余额|1,777,792,062.78|1,614,291,357.02
