page|87
项目|2021 年度|2020 年度
一、营业总收入|2,005,707,735.00|2,165,330,172.14
其中：营业收入|2,005,707,735.00|2,165,330,172.14
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,779,065,507.45|1,826,249,670.88
其中：营业成本|1,484,112,895.96|1,536,925,440.86
page|88
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|19,882,189.72|16,315,404.59
销售费用|68,595,212.00|75,794,789.88
管理费用|92,047,659.56|78,824,780.63
研发费用|103,060,909.31|108,970,005.64
财务费用|11,366,640.90|9,419,249.28
其中：利息费用|3,853,643.49|2,331,482.43
利息收入|15,789,479.58|26,945,760.37
加：其他收益|16,495,179.50|23,467,303.41
投资收益（损失以“－”号填列）|9,566,828.25|13,633,900.76
其中：对联营企业和合营企业的投资收益|-4,239,687.89|-2,796,445.40
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|13,461,933.93|1,416,657.94
信用减值损失（损失以“-”号填列）|3,588,680.01|-963,282.41
资产减值损失（损失以“-”号填列）||
资产处置收益（损失以“-”号填列）|-266,276.66|1,560,558.14
三、营业利润（亏损以“－”号填列）|269,488,572.58|378,195,639.10
加：营业外收入|456,547.83|993,110.24
page|89
减：营业外支出|2,774,108.59|8,449,740.48
四、利润总额（亏损总额以“－”号填列）|267,171,011.82|370,739,008.86
减：所得税费用|32,244,158.31|46,305,182.51
五、净利润（净亏损以“－”号填列）|234,926,853.51|324,433,826.35
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|234,926,853.51|324,433,826.35
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|234,926,853.51|324,473,276.25
2.少数股东损益||-39,449.90
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
page|90
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|234,926,853.51|324,433,826.35
归属于母公司所有者的综合收益总额|234,926,853.51|324,473,276.25
归属于少数股东的综合收益总额||-39,449.90
八、每股收益：||
（一）基本每股收益|0.38|0.56
（二）稀释每股收益|0.33|0.53
