page|86
项目|2021 年度|2020 年度
一、营业总收入|1,214,166,195.62|959,479,778.19
其中：营业收入|1,214,166,195.62|959,479,778.19
利息收入||
page|87
已赚保费||
手续费及佣金收入||
二、营业总成本|972,607,930.34|714,028,763.64
其中：营业成本|740,657,059.48|540,994,483.88
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|7,240,441.81|5,424,249.83
销售费用|68,828,511.97|43,223,321.50
管理费用|95,617,317.22|58,182,798.02
研发费用|90,251,415.30|57,661,930.30
财务费用|-29,986,815.44|8,541,980.11
其中：利息费用|472,509.58|7,598.36
利息收入|35,261,627.58|1,760,921.59
加：其他收益|2,100,978.91|6,349,518.06
投资收益（损失以“－”号填列）|8,027,488.37|7,012,112.21
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|2,988,198.32|117,126.56
信用减值损失（损失以“-”号填列）|-88,010.52|-8,891,789.78
资产减值损失（损失以“-”号填列）|-4,558,177.70|-3,098,254.44
page|88
资产处置收益（损失以“-”号填列）|-1,586,705.08|1,458,128.09
三、营业利润（亏损以“－”号填列）|248,442,037.58|248,397,855.25
加：营业外收入|5,018,584.05|21,738.15
减：营业外支出|430,371.40|303,762.99
四、利润总额（亏损总额以“－”号填列）|253,030,250.23|248,115,830.41
减：所得税费用|30,824,895.08|34,214,094.13
五、净利润（净亏损以“－”号填列）|222,205,355.15|213,901,736.28
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|222,205,355.15|213,901,736.28
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|222,205,355.15|213,901,736.28
2.少数股东损益||
六、其他综合收益的税后净额|-20,674.56|-32,113.06
归属母公司所有者的其他综合收益的税后净额|-20,674.56|-32,113.06
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-20,674.56|-32,113.06
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
page|89
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-20,674.56|-32,113.06
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|222,184,680.59|213,869,623.22
归属于母公司所有者的综合收益总额|222,184,680.59|213,869,623.22
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|3.23|5.46
（二）稀释每股收益|3.23|5.46
