page|113
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|170,199,518.79|206,637,742.41
结算备付金||
拆出资金||
交易性金融资产|4,965,089.79|5,957,547.42
衍生金融资产||
应收票据||
应收账款|919,244,678.57|1,005,043,075.09
应收款项融资|67,156,903.28|123,975,253.65
预付款项|37,706,650.64|28,996,566.99
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|56,341,221.79|59,458,546.63
其中：应收利息||
应收股利||
买入返售金融资产||
存货|228,301,503.53|479,538,843.14
合同资产||
持有待售资产||
一年内到期的非流动资产|3,000,000.00|
其他流动资产|96,046,668.21|86,448,291.46
流动资产合计|1,582,962,234.60|1,996,055,866.79
非流动资产：||
发放贷款和垫款||
page|114
债权投资||
其他债权投资||
长期应收款|17,713,578.83|
长期股权投资|8,989,986.55|9,214,177.20
其他权益工具投资|3,006,596.09|3,006,596.09
其他非流动金融资产||
投资性房地产|235,602,385.45|51,017,894.60
固定资产|894,767,384.96|759,459,952.81
在建工程|53,452,224.30|134,834,744.67
生产性生物资产||
油气资产||
使用权资产|394,884,586.34|
无形资产|127,721,055.85|137,540,279.68
开发支出|26,971,811.79|10,524,591.71
商誉|211,001,851.94|212,201,099.67
长期待摊费用|80,316,246.13|89,209,632.23
递延所得税资产|24,915,564.05|25,128,724.22
其他非流动资产|34,901,998.02|26,895,645.57
非流动资产合计|2,114,245,270.30|1,459,033,338.45
资产总计|3,697,207,504.90|3,455,089,205.24
流动负债：||
短期借款|453,152,290.00|500,469,100.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|11,000,000.00|
应付账款|351,300,222.22|343,292,372.46
预收款项|4,249,827.52|3,923,017.48
合同负债|128,025,887.58|29,720,217.70
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
page|115
应付职工薪酬|35,468,229.13|34,067,978.87
应交税费|92,117,970.98|59,007,306.00
其他应付款|180,336,584.66|205,911,364.14
其中：应付利息|429,678.17|1,361,253.97
应付股利|14,935,107.62|14,350,332.62
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|150,682,185.64|176,499,367.81
其他流动负债|5,831,074.88|3,025,230.23
流动负债合计|1,412,164,272.61|1,355,915,954.69
非流动负债：||
保险合同准备金||
长期借款|57,500,000.00|136,750,000.00
应付债券||
其中：优先股||
永续债||
租赁负债|345,320,395.31|
长期应付款|42,370,616.08|16,815,610.44
长期应付职工薪酬||
预计负债||
递延收益|21,849,860.76|29,570,851.09
递延所得税负债|4,524,403.24|5,198,916.49
其他非流动负债||
非流动负债合计|471,565,275.39|188,335,378.02
负债合计|1,883,729,548.00|1,544,251,332.71
所有者权益：||
股本|753,126,982.00|753,126,982.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,576,028,798.22|1,576,028,798.22
减：库存股||
其他综合收益|-27,432,143.26|-27,357,879.91
page|116
专项储备||
盈余公积|83,015,164.70|83,015,164.70
一般风险准备||
未分配利润|-799,269,312.22|-685,341,280.98
归属于母公司所有者权益合计|1,585,469,489.44|1,699,471,784.03
少数股东权益|228,008,467.46|211,366,088.50
所有者权益合计|1,813,477,956.90|1,910,837,872.53
负债和所有者权益总计|3,697,207,504.90|3,455,089,205.24
