page|130
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|593,202,106.64|1,083,403,926.75
结算备付金||
拆出资金||
交易性金融资产|161,591,287.67|40,210,958.90
衍生金融资产||
应收票据|138,592,765.54|246,322,519.99
应收账款|329,825,894.50|188,290,816.27
应收款项融资|159,313,955.40|155,582,322.63
预付款项|8,040,505.40|42,047,079.76
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|3,745,235.39|7,578,814.46
其中：应收利息|0.00|
应收股利|0.00|
买入返售金融资产||
存货|664,715,702.15|700,698,521.89
合同资产|98,206,066.97|85,588,864.36
持有待售资产||
一年内到期的非流动资产||
其他流动资产|1,300,874,168.76|21,052,654.61
流动资产合计|3,458,107,688.42|2,570,776,479.62
非流动资产：||
发放贷款和垫款||
债权投资|0.00|
其他债权投资|0.00|
长期应收款||
长期股权投资|0.00|0.00
其他权益工具投资||
其他非流动金融资产||
投资性房地产|0.00|
固定资产|62,950,839.68|9,972,472.64
在建工程|135,779,912.65|29,415,707.03
生产性生物资产||
油气资产||
page|131
使用权资产|1,705,571.53|0.00
无形资产|47,408,601.09|49,583,585.66
开发支出||
商誉||
长期待摊费用|2,462,347.81|2,364,288.62
递延所得税资产|20,329,310.66|16,119,506.99
其他非流动资产|26,065,214.02|4,053,407.74
非流动资产合计|296,701,797.44|111,508,968.68
资产总计|3,754,809,485.86|2,682,285,448.30
流动负债：||
短期借款|0.00|
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|21,992,645.25|14,077,208.57
应付账款|112,405,025.19|95,103,176.37
预收款项||
合同负债|447,843,595.36|564,088,731.33
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|27,000,831.50|24,870,703.73
应交税费|17,539,874.03|3,662,889.73
其他应付款|9,659,544.93|15,866,017.27
其中：应付利息|1,371,616.44|
应付股利|0.00|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|475,048.43|0.00
其他流动负债|55,669,702.99|106,480,864.68
流动负债合计|692,586,267.68|824,149,591.68
非流动负债：||
保险合同准备金||
长期借款|0.00|
应付债券|697,890,261.45|
其中：优先股||
永续债||
租赁负债|1,565,501.94|0.00
长期应付款||
长期应付职工薪酬||
page|132
预计负债|25,135,830.08|21,448,467.13
递延收益|29,556,400.80|36,669,837.59
递延所得税负债|720,567.15|142,410.07
其他非流动负债||
非流动负债合计|754,868,561.42|58,260,714.79
负债合计|1,447,454,829.10|882,410,306.47
所有者权益：||
股本|106,270,640.00|105,800,240.00
其他权益工具|147,363,261.64|
其中：优先股||
永续债||
资本公积|895,622,330.39|837,126,522.39
减：库存股||
其他综合收益|-2,060,864.59|-1,540,822.23
专项储备||
盈余公积|53,135,320.00|52,900,120.00
一般风险准备||
未分配利润|1,107,023,969.32|805,589,081.67
归属于母公司所有者权益合计|2,307,354,656.76|1,799,875,141.83
少数股东权益||
所有者权益合计|2,307,354,656.76|1,799,875,141.83
负债和所有者权益总计|3,754,809,485.86|2,682,285,448.30
