page|75
项目|2021 年度|2020 年度
一、营业总收入|383,536,205.94|398,921,057.66
其中：营业收入|383,536,205.94|398,921,057.66
利息收入||
已赚保费||
page|76
手续费及佣金收入||
二、营业总成本|403,664,911.69|437,154,536.74
其中：营业成本|301,485,648.03|318,982,550.97
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|2,296,549.09|3,339,136.86
销售费用|8,927,060.27|8,535,556.19
管理费用|66,332,860.82|60,771,928.56
研发费用|24,989,416.95|23,819,399.67
财务费用|-366,623.47|21,705,964.49
其中：利息费用|19,811,650.80|28,106,699.07
利息收入|21,011,698.54|6,882,273.48
加：其他收益|1,599,482.24|7,007,811.40
投资收益（损失以“－”号填列）|109,812,876.75|316,416,017.92
其中：对联营企业和合营企业的投资收益|30,124,995.59|254,995,252.92
以摊余成本计量的金融资产终止确认收益|-7,856,239.12|
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-3.26|13.36
信用减值损失（损失以“-”号填列）|-67,438,513.29|-67,225,545.09
资产减值损失（损失以“-”号填列）|-28,884,274.73|-603,812,663.86
资产处置收益（损失以“-”号填列）|680,344.99|1,022,199.84
page|77
三、营业利润（亏损以“－”号填列）|-4,358,793.05|-384,825,645.51
加：营业外收入|194,565,165.00|486,021.60
减：营业外支出|7,656,360.75|488,431.72
四、利润总额（亏损总额以“－”号填列）|182,550,011.20|-384,828,055.63
减：所得税费用|43,088,908.06|1,384,662.66
五、净利润（净亏损以“－”号填列）|139,461,103.14|-386,212,718.29
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|139,461,103.14|-386,212,718.29
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|139,036,735.82|-386,883,094.07
2.少数股东损益|424,367.32|670,375.78
六、其他综合收益的税后净额|2,211,797.33|-22,786,152.39
归属母公司所有者的其他综合收益的税后净额|2,025,888.04|-22,900,416.48
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|2,025,888.04|-22,900,416.48
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准||
page|78
备||
5.现金流量套期储备||
6.外币财务报表折算差额|2,025,888.04|-22,900,416.48
7.其他||
归属于少数股东的其他综合收益的税后净额|185,909.29|114,264.09
七、综合收益总额|141,672,900.47|-408,998,870.68
归属于母公司所有者的综合收益总额|141,062,623.86|-409,783,510.55
归属于少数股东的综合收益总额|610,276.61|784,639.87
八、每股收益：||
（一）基本每股收益|0.1313|-0.3655
（二）稀释每股收益|0.1313|-0.3655
