page|148
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|231,116,012.04|247,088,421.13
结算备付金||
拆出资金||
交易性金融资产|588,885,765.63|56,500,000.00
衍生金融资产||
应收票据|5,161,685.73|4,845,473.35
应收账款|315,010,957.78|194,613,235.49
应收款项融资||
预付款项|3,152,493.48|3,105,836.23
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|8,242,408.82|7,039,605.91
其中：应收利息||
应收股利||
买入返售金融资产||
存货|27,302,998.61|31,024,484.02
合同资产|9,174,009.44|6,373,529.43
page|149
持有待售资产||
一年内到期的非流动资产||
其他流动资产|804,079.02|9,447,407.81
流动资产合计|1,188,850,410.55|560,037,993.37
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|43,085,094.16|1,104,316.77
其他权益工具投资||
其他非流动金融资产||
投资性房地产|20,034,191.14|21,644,051.56
固定资产|87,513,881.68|35,885,467.29
在建工程||
生产性生物资产||
油气资产||
使用权资产|39,019,774.64|
无形资产|2,131,665.79|898,438.84
开发支出||
商誉||
长期待摊费用|10,126,186.09|7,257,113.23
递延所得税资产|15,573,106.67|10,049,607.46
其他非流动资产|54,937,061.76|32,635,086.89
非流动资产合计|272,420,961.93|109,474,082.04
资产总计|1,461,271,372.48|669,512,075.41
流动负债：||
短期借款|999,734.64|19,742,900.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|42,800,520.89|25,653,526.16
page|150
预收款项||
合同负债|95,862,800.94|121,410,623.64
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|55,796,356.77|67,182,064.30
应交税费|15,890,753.82|13,993,367.25
其他应付款|2,917,429.99|3,707,561.37
其中：应付利息||25,012.50
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|18,693,222.74|
其他流动负债|6,650,656.52|8,454,625.04
流动负债合计|239,611,476.31|260,144,667.76
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|21,634,121.62|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债|188,285.95|
其他非流动负债||
非流动负债合计|21,822,407.57|
负债合计|261,433,883.88|260,144,667.76
所有者权益：||
股本|60,000,000.00|45,000,000.00
page|151
其他权益工具||
其中：优先股||
永续债||
资本公积|724,511,308.96|25,182,252.15
减：库存股||
其他综合收益|-15,806.71|-1,741.84
专项储备||
盈余公积|30,000,000.00|22,500,000.00
一般风险准备||
未分配利润|384,606,954.51|316,686,897.34
归属于母公司所有者权益合计|1,199,102,456.76|409,367,407.65
少数股东权益|735,031.84|
所有者权益合计|1,199,837,488.60|409,367,407.65
负债和所有者权益总计|1,461,271,372.48|669,512,075.41
