page|86
|附注|2021 年|2020 年
一、 经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,674,741,084|3,259,057,195
收到的税费返回||48,716,047|45,642,498
收到其他与经营活动有关的现金|五、50(1)|89,142,251|81,197,248
经营活动现金流入小计||3,812,599,382|3,385,896,941
购买商品、接受劳务支付的现金||957,499,905|1,095,500,438
支付给职工以及为职工支付的现金||507,532,110|529,304,037
支付的各项税费||659,986,692|704,054,796
支付其他与经营活动有关的现金|五、50(2)|562,198,017|551,890,997
经营活动现金流出小计||2,687,216,724|2,880,750,268
经营活动产生的现金流量净额|五、51(1)|1,125,382,658|505,146,673
二、 投资活动产生的现金流量：|||
收回投资收到的现金||93,553,062|135,647,402
取得投资收益收到的现金||2,587,932|1,730,511
处置固定资产、无形资产和其他长期资产收回的现金净额||7,923,724|49,200,301
投资活动现金流入小计||104,064,718|186,578,214
购建固定资产、无形资产和其他长期资产支付的现金||225,502,766|155,918,502
投资支付的现金||54,218,000|83,508,393
取得子公司及其他营业单位支付的现金净额|五、51(2)|-|89,519,789
投资活动现金流出小计||279,720,766|328,946,684
投资活动产生的现金流量净额||(175,656,048)|(142,368,470)
page|87
|附注|2021 年|2020 年
三、 筹资活动产生的现金流量：|||
吸收投资所收到的现金||7,840,000|-
取得借款收到的现金||847,358,786|987,668,379
筹资活动现金流入小计||855,198,786|987,668,379
偿还债务支付的现金||1,036,788,771|1,098,773,637
分配股利、利润或偿付利息支付的现金||302,051,763|531,697,065
支付其他与筹资活动有关的现金|五、50(3)|15,904,567|62,966,747
筹资活动现金流出小计||1,354,745,101|1,693,437,449
筹资活动产生的现金流量净额||(499,546,315)|(705,769,070)
四、 汇率变动对现金及现金等价物的影响||(518,371)|(1,743,498)
五、 现金及现金等价物净增加 /（减少）额|五、51(1)|449,661,924|(344,734,365)
加：年初现金及现金等价物余额||1,052,665,105|1,397,399,470
六、 年末现金及现金等价物余额|五、51(3)|1,502,327,029|1,052,665,105
