page|93
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|512,831,192.82|538,568,439.36
结算备付金||
拆出资金||
交易性金融资产||120,285,068.49
衍生金融资产||
应收票据|620,030.61|
应收账款|159,760,761.22|153,178,125.82
应收款项融资|9,551,495.33|4,626,255.04
预付款项|99,962,281.96|72,641,721.77
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|1,924,124.58|852,873.89
其中：应收利息||
应收股利||
买入返售金融资产||
存货|336,765,433.59|264,164,564.13
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|15,100,342.83|5,758,391.78
流动资产合计|1,136,515,662.94|1,160,075,440.28
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
page|94
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|397,682,583.31|427,344,817.82
在建工程|281,373,781.41|26,603,313.54
生产性生物资产||
油气资产||
使用权资产||
无形资产|111,576,606.94|122,354,678.26
开发支出||
商誉|18,023,616.11|18,023,616.11
长期待摊费用|4,931,397.30|3,642,784.64
递延所得税资产|14,164,278.82|2,668,787.32
其他非流动资产|49,840,884.49|14,340,144.63
非流动资产合计|877,593,148.38|614,978,142.32
资产总计|2,014,108,811.32|1,775,053,582.60
流动负债：||
短期借款|283,544,241.10|269,300,950.01
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|43,387,061.32|30,572,419.12
应付账款|22,976,902.32|22,874,865.60
预收款项||
合同负债|52,238.38|70,672.28
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|3,010,552.08|1,825,227.61
page|95
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
应交税费|15,783,091.03|6,850,940.14
其他应付款|7,997,931.64|42,556,415.23
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|155,465.66|
其他流动负债|6,258.87|
流动负债合计|376,913,742.40|374,051,489.99
非流动负债：||
保险合同准备金||
长期借款|137,800,447.22|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|55,765,765.59|8,652,069.48
递延所得税负债|23,764,117.13|24,438,744.78
其他非流动负债||
非流动负债合计|217,330,329.94|33,090,814.26
负债合计|594,244,072.34|407,142,304.25
所有者权益：||
股本|346,000,000.00|346,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|561,025,368.32|561,025,368.32
减：库存股||
其他综合收益||
page|96
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
专项储备||
盈余公积|33,416,192.61|30,118,859.35
一般风险准备||
未分配利润|475,425,983.47|430,767,050.68
归属于母公司所有者权益合计|1,415,867,544.40|1,367,911,278.35
少数股东权益|3,997,194.58|
所有者权益合计|1,419,864,738.98|1,367,911,278.35
负债和所有者权益总计|2,014,108,811.32|1,775,053,582.60
