page|141
项目|2021 年度|2020 年度
一、营业总收入|2,974,838,701.52|2,022,152,767.58
其中：营业收入|2,974,838,701.52|2,022,152,767.58
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,909,108,296.09|1,914,696,253.35
其中：营业成本|2,609,267,734.35|1,650,760,124.26
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|7,443,245.62|7,012,719.46
销售费用|123,320,054.45|127,199,107.47
管理费用|79,826,233.14|58,722,886.35
研发费用|51,897,264.07|34,997,608.45
财务费用|37,353,764.46|36,003,807.36
其中：利息费用|37,835,371.37|34,493,756.19
利息收入|2,904,094.79|1,670,118.80
加：其他收益|4,938,992.94|1,938,511.38
投资收益（损失以“－”号填列）||0.81
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
page|142
信用减值损失（损失以“-”号填列）|-15,996,734.58|1,307,123.60
资产减值损失（损失以“-”号填列）|-2,598,879.90|-1,831,106.31
资产处置收益（损失以“-”号填列）|22,211.10|
三、营业利润（亏损以“－”号填列）|52,095,994.99|108,871,043.71
加：营业外收入|5,128,304.73|1,804,223.85
减：营业外支出|296,093.78|506,093.47
四、利润总额（亏损总额以“－”号填列）|56,928,205.94|110,169,174.09
减：所得税费用|6,476,831.30|20,369,329.91
五、净利润（净亏损以“－”号填列）|50,451,374.64|89,799,844.18
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|50,451,374.64|89,799,844.18
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|50,451,374.64|89,799,844.18
2.少数股东损益||
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
page|143
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|50,451,374.64|89,799,844.18
归属于母公司所有者的综合收益总额|50,451,374.64|89,799,844.18
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|0.66|1.33
（二）稀释每股收益|0.66|1.33
