page|91
项目|2021 年度|2020 年度
一、营业总收入|227,925,969.91|189,276,783.70
其中：营业收入|227,925,969.91|189,276,783.70
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|180,094,675.99|145,797,513.28
其中：营业成本|142,831,988.50|117,190,758.22
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|978,124.16|989,233.82
销售费用|7,314,373.59|5,790,800.81
管理费用|15,490,959.12|11,454,649.17
研发费用|16,881,969.98|11,600,734.77
财务费用|-3,402,739.36|-1,228,663.51
其中：利息费用|553,776.29|612,326.98
利息收入|3,672,060.41|1,829,242.81
加：其他收益|4,549,048.51|3,925,805.99
投资收益（损失以“－”号填列）|5,660,766.24|2,224,289.02
其中：对联营企业和合营企业的投资收益|870,813.82|0.00
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|201,220.32|0.00
信用减值损失（损失以“-”号填|-3,010,259.82|-2,405,404.70
page|92
列）||
资产减值损失（损失以“-”号填列）|-217,369.22|0.00
资产处置收益（损失以“-”号填列）||
三、营业利润（亏损以“－”号填列）|55,014,699.95|47,223,960.73
加：营业外收入|212,672.68|3,003,314.84
减：营业外支出|82,155.85|105,371.71
四、利润总额（亏损总额以“－”号填列）|55,145,216.78|50,121,903.86
减：所得税费用|7,099,284.17|6,188,724.30
五、净利润（净亏损以“－”号填列）|48,045,932.61|43,933,179.56
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|48,045,932.61|43,933,179.56
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|48,063,431.51|43,876,177.33
2.少数股东损益|-17,498.90|57,002.23
六、其他综合收益的税后净额|3,235,324.01|-248,282.69
归属母公司所有者的其他综合收益的税后净额|3,238,035.32|-244,608.11
（一）不能重分类进损益的其他综合收益|3,418,520.59|0.00
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|3,418,520.59|0.00
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-180,485.27|-244,608.11
1.权益法下可转损益的其他综合收益||
page|93
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-180,485.27|-244,608.11
7.其他||
归属于少数股东的其他综合收益的税后净额|-2,711.31|-3,674.58
七、综合收益总额|51,281,256.62|43,684,896.87
归属于母公司所有者的综合收益总额|51,301,466.83|43,631,569.22
归属于少数股东的综合收益总额|-20,210.21|53,327.65
八、每股收益：||
（一）基本每股收益|0.7535|0.8467
（二）稀释每股收益|0.7535|0.8467
