page|79
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,339,850,644.79|1,066,854,250.99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,163,355.89|4,174,627.29
收到其他与经营活动有关的现金|七-78|99,924,342.87|17,948,416.95
经营活动现金流入小计||1,440,938,343.55|1,088,977,295.23
购买商品、接受劳务支付的现||729,823,496.60|396,654,326.48
page|80
金|||
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||262,829,672.07|218,461,071.38
支付的各项税费||95,720,514.38|124,112,160.74
支付其他与经营活动有关的现金|七-78|167,105,679.33|80,120,068.12
经营活动现金流出小计||1,255,479,362.38|819,347,626.72
经营活动产生的现金流量净额||185,458,981.17|269,629,668.51
二、投资活动产生的现金流量：|||
收回投资收到的现金|||6,854,356.53
取得投资收益收到的现金||13,038,895.52|9,493,255.99
处置固定资产、无形资产和其他长期资产收回的现金净额||3,430,816.58|301,598.31
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七-78|1,525,151,853.36|1,171,000,000.00
投资活动现金流入小计||1,541,621,565.46|1,187,649,210.83
购建固定资产、无形资产和其他长期资产支付的现金||70,778,643.30|29,759,789.84
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七-78|1,299,195,311.69|1,236,900,000.00
投资活动现金流出小计||1,369,973,954.99|1,266,659,789.84
投资活动产生的现金流量净额||171,647,610.47|-79,010,579.01
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||10,000,000.00|185,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||10,000,000.00|185,000,000.00
偿还债务支付的现金||110,129,463.90|360,000,000.00
分配股利、利润或偿付利息支||66,717,029.71|32,102,613.74
page|81
付的现金|||
其中：子公司支付给少数股东的股利、利润||4,900,000.00|
支付其他与筹资活动有关的现金|七-78|2,367,340.84|2,280.00
筹资活动现金流出小计||179,213,834.45|392,104,893.74
筹资活动产生的现金流量净额||-169,213,834.45|-207,104,893.74
四、汇率变动对现金及现金等价物的影响||-4,074.08|-11,706.85
五、现金及现金等价物净增加额||187,888,683.11|-16,497,511.09
加：期初现金及现金等价物余额||116,340,089.14|132,837,600.23
六、期末现金及现金等价物余额||304,228,772.25|116,340,089.14
