page|99
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|191,362,754.14|186,494,201.65
结算备付金|||
拆出资金|||
交易性金融资产|七、2|183,121,972.22|
衍生金融资产|||
应收票据|七、4|139,850.53|135,788.44
应收账款|七、5|66,295,251.28|49,135,853.03
应收款项融资|||
预付款项|七、7|4,173,398.15|6,439,019.54
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|5,085,023.40|4,374,899.18
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|311,899,414.62|167,924,992.57
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|80,101,568.27|9,852,971.82
流动资产合计||842,179,232.61|424,357,726.23
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|3,741,853.71|
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|166,454,852.55|176,114,698.73
在建工程|七、22|195,901,141.34|48,750,104.50
生产性生物资产|||
油气资产|||
使用权资产|七、25|1,036,411.42|
无形资产|七、26|21,779,570.82|21,724,888.83
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|七、30|3,408,818.56|1,943,524.81
其他非流动资产|七、31|6,105,111.82|1,218,972.00
非流动资产合计||398,427,760.22|249,752,188.87
资产总计||1,240,606,992.83|674,109,915.10
流动负债：|||
page|100
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|165,936,950.63|128,535,341.07
预收款项|||
合同负债|七、38|87,200,645.81|90,860,287.98
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|17,982,896.84|22,968,555.49
应交税费|七、40|1,830,556.97|1,498,249.05
其他应付款|七、41|3,569,769.71|2,438,273.26
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|798,008.39|249,277.47
其他流动负债|七、44|9,238,167.96|10,420,838.80
流动负债合计||286,556,996.31|256,970,823.12
非流动负债：|||
保险合同准备金|||
长期借款|七、45|3,550,326.26|3,891,143.72
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|138,940.60|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|1,000,000.00|
递延所得税负债|||
其他非流动负债|||
非流动负债合计||4,689,266.86|3,891,143.72
负债合计||291,246,263.17|260,861,966.84
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|110,000,000.00|82,500,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|557,360,903.02|106,552,289.90
减：库存股|||
其他综合收益|七、57|-1,058,943.14|-25,193.57
专项储备|||
page|101
盈余公积|七、59|32,681,554.17|21,732,520.04
一般风险准备|||
未分配利润|七、60|250,742,526.10|202,470,806.98
归属于母公司所有者权益（或股东权益）合计||949,726,040.15|413,230,423.35
少数股东权益||-365,310.49|17,524.91
所有者权益（或股东权益）合计||949,360,729.66|413,247,948.26
负债和所有者权益（或股东权益）总计||1,240,606,992.83|674,109,915.10
