page|88
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,824,049,336.72|9,414,513,215.35
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|1,006,737,025.22|597,991,141.86
经营活动现金流入小计||9,830,786,361.94|10,012,504,357.21
购买商品、接受劳务支付的现金||7,027,450,266.22|6,952,650,960.14
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||826,272,111.63|782,859,857.02
支付的各项税费||403,520,495.05|404,191,206.86
支付其他与经营活动有关的现金|七、78|944,433,987.72|1,299,228,225.12
经营活动现金流出小计||9,201,676,860.62|9,438,930,249.14
经营活动产生的现金流量净额||629,109,501.32|573,574,108.07
二、投资活动产生的现金流量：|||
收回投资收到的现金|||1,500,000.00
取得投资收益收到的现金||103,704.13|185,429.40
处置固定资产、无形资产和其他长期资产收回的现金净额||346,755,053.35|108,180,782.10
处置子公司及其他营业单位收到的现|||
page|89
金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||346,858,757.48|109,866,211.50
购建固定资产、无形资产和其他长期资产支付的现金||954,961,668.05|1,259,764,415.09
投资支付的现金|||21,306,855.35
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|605,008,901.86|137,103,871.89
投资活动现金流出小计||1,559,970,569.91|1,418,175,142.33
投资活动产生的现金流量净额||-1,213,111,812.43|-1,308,308,930.83
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||34,380,000.00|1,792,580,000.00
其中：子公司吸收少数股东投资收到的现金||34,380,000.00|
取得借款收到的现金||3,162,725,611.11|2,260,000,000.00
收到其他与筹资活动有关的现金|七、78|271,312,061.62|11,176,999.52
筹资活动现金流入小计||3,468,417,672.73|4,063,756,999.52
偿还债务支付的现金||2,488,294,666.67|2,390,500,000.00
分配股利、利润或偿付利息支付的现金||129,920,799.96|215,430,201.96
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|446,641,828.50|159,957,630.79
筹资活动现金流出小计||3,064,857,295.13|2,765,887,832.75
筹资活动产生的现金流量净额||403,560,377.60|1,297,869,166.77
四、汇率变动对现金及现金等价物的影响||-963,643.66|-1,512,307.40
五、现金及现金等价物净增加额||-181,405,577.17|561,622,036.61
加：期初现金及现金等价物余额||739,667,622.29|178,045,585.68
六、期末现金及现金等价物余额||558,262,045.12|739,667,622.29
