page|121
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|795,309,364.35|718,051,294.13
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|41,869,039.21|70,309,711.49
经营活动现金流入小计|837,178,403.56|788,361,005.62
购买商品、接受劳务支付的现金|341,775,906.46|264,847,656.27
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现|257,731,273.71|206,688,297.40
page|122
金||
支付的各项税费|43,260,756.27|32,950,423.56
支付其他与经营活动有关的现金|193,522,689.24|197,737,051.10
经营活动现金流出小计|836,290,625.68|702,223,428.33
经营活动产生的现金流量净额|887,777.88|86,137,577.29
二、投资活动产生的现金流量：||
收回投资收到的现金|3,192,750.00|
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|278,400.00|26,887.48
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|18,618,963.98|769,483,940.64
投资活动现金流入小计|22,090,113.98|769,510,828.12
购建固定资产、无形资产和其他长期资产支付的现金|367,058,278.81|202,333,029.02
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||26,033,818.07
支付其他与投资活动有关的现金|34,040,001.00|902,191,610.00
投资活动现金流出小计|401,098,279.81|1,130,558,457.09
投资活动产生的现金流量净额|-379,008,165.83|-361,047,628.97
三、筹资活动产生的现金流量：||
吸收投资收到的现金||9,800,000.00
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|547,281,564.69|1,125,396,335.69
收到其他与筹资活动有关的现金|868,100,000.00|1,817,988,700.00
筹资活动现金流入小计|1,415,381,564.69|2,953,185,035.69
偿还债务支付的现金|612,302,615.36|1,121,002,492.23
分配股利、利润或偿付利息支付的现金|25,948,725.30|27,269,629.30
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|407,489,489.00|1,516,139,141.40
page|123
筹资活动现金流出小计|1,045,740,829.66|2,664,411,262.93
筹资活动产生的现金流量净额|369,640,735.03|288,773,772.76
四、汇率变动对现金及现金等价物的影响|-242,452.87|-687,164.15
五、现金及现金等价物净增加额|-8,722,105.79|13,176,556.93
加：期初现金及现金等价物余额|43,187,355.26|30,010,798.33
六、期末现金及现金等价物余额|34,465,249.47|43,187,355.26
