page|89
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|277,109,981.96|334,447,381.50
结算备付金||
拆出资金||
交易性金融资产||30,019,726.03
衍生金融资产||
应收票据||
应收账款|208,001,208.78|258,335,627.64
应收款项融资||
预付款项|36,430,869.52|2,121,494.54
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|946,491.24|138,807.43
其中：应收利息||
应收股利||
买入返售金融资产||
存货|125,021,377.29|85,189,183.27
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|16,701,183.13|8,171,951.45
流动资产合计|664,211,111.92|718,424,171.86
非流动资产：||
发放贷款和垫款||
债权投资||
page|90
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产|3,264,574.08|3,550,787.76
固定资产|63,086,202.15|61,130,706.78
在建工程|37,469,271.99|
生产性生物资产||
油气资产||
使用权资产|921,564.34|
无形资产|11,345,450.02|308,220.41
开发支出||
商誉||
长期待摊费用|161,381.18|158,941.42
递延所得税资产|10,750,221.11|6,662,200.19
其他非流动资产|3,828,567.33|14,725,349.68
非流动资产合计|130,827,232.20|86,536,206.24
资产总计|795,038,344.12|804,960,378.10
流动负债：||
短期借款|23,926,948.61|23,926,175.32
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|22,762,716.30|18,017,368.93
预收款项||135,572.58
合同负债|8,866,544.17|22,466,217.02
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|7,648,858.19|8,793,191.74
page|91
应交税费|2,821,081.67|22,159,235.65
其他应付款|3,187,420.32|478,659.00
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|355,729.36|2,503,958.33
其他流动负债|655,344.62|1,524,843.98
流动负债合计|70,224,643.24|100,005,222.55
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|294,049.22|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债||
其他非流动负债||
非流动负债合计|294,049.22|
负债合计|70,518,692.46|100,005,222.55
所有者权益：||
股本|102,080,000.00|102,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|321,547,118.44|300,869,464.89
减：库存股|2,553,520.00|
其他综合收益||
专项储备||
page|92
盈余公积|33,369,020.15|31,507,882.01
一般风险准备||
未分配利润|259,219,193.05|269,191,817.07
归属于母公司所有者权益合计|713,661,811.64|703,569,163.97
少数股东权益|10,857,840.02|1,385,991.58
所有者权益合计|724,519,651.66|704,955,155.55
负债和所有者权益总计|795,038,344.12|804,960,378.10
