page|91
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|10,068,228,253.55|6,395,636,661.55
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|244,885,827.76|182,391,850.25
收到其他与经营活动有关的现金|714,876,164.59|1,250,825,328.32
经营活动现金流入小计|11,027,990,245.90|7,828,853,840.12
page|92
购买商品、接受劳务支付的现金|8,540,379,312.42|4,557,148,552.21
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|2,034,734,635.49|1,203,035,106.52
支付的各项税费|709,255,679.29|444,692,722.11
支付其他与经营活动有关的现金|520,479,739.04|238,837,864.60
经营活动现金流出小计|11,804,849,366.24|6,443,714,245.44
经营活动产生的现金流量净额|-776,859,120.34|1,385,139,594.68
二、投资活动产生的现金流量：||
收回投资收到的现金||100,000,000.00
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|117,910.96|9,459,586.06
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|117,910.96|109,459,586.06
购建固定资产、无形资产和其他长期资产支付的现金|446,819,853.60|668,335,225.79
投资支付的现金||114,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|446,819,853.60|782,335,225.79
投资活动产生的现金流量净额|-446,701,942.64|-672,875,639.73
三、筹资活动产生的现金流量：||
吸收投资收到的现金|8,497,109,995.32|201,000,627.75
其中：子公司吸收少数股东投资收到的现金||
page|93
取得借款收到的现金|2,492,795,703.91|2,028,099,900.87
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|10,989,905,699.23|2,229,100,528.62
偿还债务支付的现金|3,094,685,015.59|3,087,083,379.67
分配股利、利润或偿付利息支付的现金|114,226,225.00|91,202,213.38
其中：子公司支付给少数股东的股利、利润|32,920,365.95|22,419,279.58
支付其他与筹资活动有关的现金|100,800,157.96|4,292,370.00
筹资活动现金流出小计|3,309,711,398.55|3,182,577,963.05
筹资活动产生的现金流量净额|7,680,194,300.68|-953,477,434.43
四、汇率变动对现金及现金等价物的影响|-4,135,665.45|-2,857,753.76
五、现金及现金等价物净增加额|6,452,497,572.25|-244,071,233.24
加：期初现金及现金等价物余额|2,578,310,661.15|2,822,381,894.39
六、期末现金及现金等价物余额|9,030,808,233.40|2,578,310,661.15
