page|83
项目|2021 年度|2020 年度
一、营业总收入|540,539,664.14|609,104,364.13
其中：营业收入|540,539,664.14|609,104,364.13
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|545,123,188.44|563,297,555.49
其中：营业成本|403,670,876.01|432,739,546.65
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|4,507,026.11|2,824,477.35
销售费用|9,728,203.37|11,264,503.59
管理费用|79,881,478.09|64,430,905.02
研发费用|40,885,969.42|39,846,209.76
财务费用|6,449,635.44|12,191,913.12
其中：利息费用|12,346,516.50|12,423,736.84
利息收入|6,714,578.86|604,612.86
加：其他收益|2,057,246.40|3,217,042.61
投资收益（损失以“－”号填列）|3,957,047.50|47,263,150.42
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融||
page|84
资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|720,080.46|8,894,008.76
信用减值损失（损失以“-”号填列）|-26,844,432.78|-45,950,879.55
资产减值损失（损失以“-”号填列）|-3,585,392.33|-4,499,194.37
资产处置收益（损失以“-”号填列）|-500,569.39|590,017.50
三、营业利润（亏损以“－”号填列）|-28,779,544.44|55,320,954.01
加：营业外收入|70,556,332.39|2,908,113.63
减：营业外支出|9,462,789.18|1,691,587.12
四、利润总额（亏损总额以“－”号填列）|32,313,998.77|56,537,480.52
减：所得税费用|-4,933,940.08|-105,321.48
五、净利润（净亏损以“－”号填列）|37,247,938.85|56,642,802.00
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|37,247,938.85|56,642,802.00
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|48,805,151.01|51,071,846.22
2.少数股东损益|-11,557,212.16|5,570,955.78
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其||
page|85
他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|37,247,938.85|56,642,802.00
归属于母公司所有者的综合收益总额|48,805,151.01|51,071,846.22
归属于少数股东的综合收益总额|-11,557,212.16|5,570,955.78
八、每股收益：||
（一）基本每股收益|0.09|0.11
（二）稀释每股收益|0.09|0.11
