page|85
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||2,691,641,790.34|1,731,350,301.25
结算备付金|||
拆出资金|||
交易性金融资产||3,015,029,182.78|2,276,092,251.74
衍生金融资产|||
应收票据|||
应收账款||405,328,209.07|237,438,756.51
应收款项融资||107,658,549.74|150,838,290.96
预付款项||18,243,120.15|12,807,671.61
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||3,098,872.84|2,292,931.50
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||1,405,023,108.40|763,733,439.06
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||65,858,485.64|20,109,616.95
流动资产合计||7,711,881,318.96|5,194,663,259.58
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||1,566,727,279.71|1,268,513,408.85
在建工程||456,254,443.21|356,612,956.59
生产性生物资产|||
油气资产|||
使用权资产||3,103,754.82|
无形资产||208,429,940.45|209,693,600.86
开发支出|||
商誉|||
长期待摊费用||176,196.74|352,393.34
递延所得税资产||69,872,916.46|29,450,995.69
page|86
其他非流动资产||136,589,812.47|306,935,351.39
非流动资产合计||2,441,154,343.86|2,171,558,706.72
资产总计||10,153,035,662.82|7,366,221,966.30
流动负债：|||
短期借款||361,308,560.18|
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||611,000,325.08|229,960,098.64
应付账款||1,090,892,128.78|1,041,766,697.61
预收款项|||
合同负债||675,992,886.74|213,134,422.48
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||21,585,632.47|24,236,789.80
应交税费||201,904,433.47|39,993,785.33
其他应付款||34,488,636.37|67,435,103.25
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||1,042,996.14|
其他流动负债||87,879,075.18|27,626,394.66
流动负债合计||3,086,094,674.41|1,644,153,291.77
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||2,175,936.65|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益||53,980,038.18|59,868,226.35
递延所得税负债||51,668,732.11|20,017,666.16
其他非流动负债|||
非流动负债合计||107,824,706.94|79,885,892.51
负债合计||3,193,919,381.35|1,724,039,184.28
所有者权益（或股东权益）：|||
实收资本（或股本）||464,564,135.00|464,679,135.00
其他权益工具|||
其中：优先股|||
永续债|||
page|87
资本公积||2,154,712,733.93|2,132,312,024.52
减：库存股||29,267,710.89|31,732,770.00
其他综合收益|||
专项储备||142,596,709.67|129,982,239.51
盈余公积||287,348,198.03|228,161,358.54
一般风险准备|||
未分配利润||3,939,162,215.73|2,718,780,794.45
归属于母公司所有者权益（或股东权益）合计||6,959,116,281.47|5,642,182,782.02
少数股东权益|||
所有者权益（或股东权益）合计||6,959,116,281.47|5,642,182,782.02
负债和所有者权益（或股东权益）总计||10,153,035,662.82|7,366,221,966.30
