page|82
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|641,206,304.12|363,641,225.00
结算备付金||
拆出资金||
交易性金融资产|175,000,000.00|
衍生金融资产||
应收票据|42,113,889.82|29,214,620.64
应收账款|1,160,435,068.05|910,176,740.15
应收款项融资|222,876,163.45|298,632,231.36
预付款项|26,889,931.14|23,817,569.24
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|10,832,028.54|2,099,597.44
其中：应收利息||
应收股利||
买入返售金融资产||
存货|415,717,363.42|328,919,626.61
合同资产|21,335,914.18|23,487,940.56
持有待售资产||
一年内到期的非流动资产||
其他流动资产|42,886,119.48|42,852,125.16
流动资产合计|2,759,292,782.20|2,022,841,676.16
非流动资产：||
发放贷款和垫款||
债权投资||
page|83
其他债权投资||
长期应收款||
长期股权投资|16,603,290.36|15,062,545.49
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|859,261,143.35|883,253,862.12
在建工程|329,366,725.70|144,902,687.10
生产性生物资产||
油气资产||
使用权资产|3,449,668.34|
无形资产|144,489,485.41|130,360,705.43
开发支出||
商誉|262,958,113.89|262,958,113.89
长期待摊费用|9,372,104.41|1,062,477.46
递延所得税资产|26,746,983.25|19,380,775.48
其他非流动资产|10,888,185.79|61,406,289.80
非流动资产合计|1,663,135,700.50|1,518,387,456.77
资产总计|4,422,428,482.70|3,541,229,132.93
流动负债：||
短期借款|1,153,341,786.10|996,966,159.75
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|377,438,671.82|276,438,127.85
应付账款|243,292,445.20|281,285,312.91
预收款项||
合同负债|29,077,190.76|37,734,757.43
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|26,586,316.31|22,819,627.52
page|84
应交税费|9,101,070.07|18,755,273.59
其他应付款|6,502,083.06|5,868,222.81
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|40,777,884.02|
其他流动负债|3,759,428.16|4,999,719.21
流动负债合计|1,889,876,875.50|1,644,867,201.07
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|2,227,813.33|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|38,636,919.22|41,415,614.46
递延所得税负债|3,892,442.13|4,377,150.63
其他非流动负债||
非流动负债合计|44,757,174.68|45,792,765.09
负债合计|1,934,634,050.18|1,690,659,966.16
所有者权益：||
股本|978,571,946.00|837,574,116.00
其他权益工具||
其中：优先股||
永续债||
资本公积|896,804,654.16|398,383,836.90
减：库存股|111,328,641.49|111,328,641.49
其他综合收益||
专项储备||
page|85
盈余公积|93,977,404.99|85,379,540.78
一般风险准备||
未分配利润|572,029,257.76|577,318,897.21
归属于母公司所有者权益合计|2,430,054,621.42|1,787,327,749.40
少数股东权益|57,739,811.10|63,241,417.37
所有者权益合计|2,487,794,432.52|1,850,569,166.77
负债和所有者权益总计|4,422,428,482.70|3,541,229,132.93
