page|73
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|492,812,991.76|413,885,888.83
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|116,625,973.38|73,155,784.62
应收账款|360,162,605.03|470,240,284.84
应收款项融资||
预付款项|3,614,917.65|16,299,855.31
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|18,228,522.63|19,769,848.95
其中：应收利息|71,458.34|336,299.57
应收股利||
买入返售金融资产||
存货|239,184,410.77|212,936,191.36
合同资产||
持有待售资产||
一年内到期的非流动资产|56,539,489.47|60,234,315.83
其他流动资产|53,510,044.56|36,696,260.66
流动资产合计|1,340,678,955.25|1,303,218,430.40
非流动资产：||
发放贷款和垫款||
债权投资||
page|74
其他债权投资||
长期应收款|73,840,376.08|96,659,812.27
长期股权投资||
其他权益工具投资||
其他非流动金融资产|10,993,139.69|
投资性房地产|37,652,954.50|38,597,620.65
固定资产|169,207,843.75|177,498,207.64
在建工程||
生产性生物资产||
油气资产||
使用权资产|6,567,570.26|
无形资产|23,480,318.30|26,778,272.39
开发支出||
商誉|31,724,921.10|33,386,670.92
长期待摊费用|6,374,183.88|5,651,893.80
递延所得税资产|33,581,259.93|30,378,116.72
其他非流动资产|14,054,713.35|8,305,556.55
非流动资产合计|407,477,280.84|417,256,150.94
资产总计|1,748,156,236.09|1,720,474,581.34
流动负债：||
短期借款|10,000,000.00|10,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|130,269,242.29|156,561,865.40
预收款项||
合同负债|46,946,184.63|62,041,469.34
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|24,591,286.80|28,575,983.82
page|75
应交税费|15,139,315.88|20,416,613.50
其他应付款|21,478,981.85|31,422,404.09
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|2,501,098.34|
其他流动负债|26,294,058.70|38,955,086.92
流动负债合计|277,220,168.49|347,973,423.07
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|2,821,072.51|
长期应付款||
长期应付职工薪酬||
预计负债|11,572,736.36|11,403,403.49
递延收益|1,546,007.13|1,718,034.90
递延所得税负债|10,511,658.88|11,745,442.01
其他非流动负债||
非流动负债合计|26,451,474.88|24,866,880.40
负债合计|303,671,643.37|372,840,303.47
所有者权益：||
股本|561,227,744.00|543,370,602.00
其他权益工具||
其中：优先股||
永续债||
资本公积|432,273,215.89|357,245,414.92
减：库存股||
其他综合收益|583,561.29|708,524.75
专项储备||
page|76
盈余公积|71,119,330.45|69,236,564.84
一般风险准备||
未分配利润|349,771,339.72|344,099,313.92
归属于母公司所有者权益合计|1,414,975,191.35|1,314,660,420.43
少数股东权益|29,509,401.37|32,973,857.44
所有者权益合计|1,444,484,592.72|1,347,634,277.87
负债和所有者权益总计|1,748,156,236.09|1,720,474,581.34
