page|92
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,285,778,018.68|1,285,404,109.06
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|40,294,097.19|30,986,669.48
收到其他与经营活动有关的现金|36,212,789.25|16,390,449.96
经营活动现金流入小计|1,362,284,905.12|1,332,781,228.50
购买商品、接受劳务支付的现金|1,012,861,630.85|975,268,059.49
page|93
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|221,891,243.96|198,649,894.68
支付的各项税费|27,868,098.16|12,337,256.06
支付其他与经营活动有关的现金|35,329,376.11|27,835,934.44
经营活动现金流出小计|1,297,950,349.08|1,214,091,144.67
经营活动产生的现金流量净额|64,334,556.04|118,690,083.83
二、投资活动产生的现金流量：||
收回投资收到的现金|4,500,000.00|18,500,000.00
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|191,045.00|1,502,325.58
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|4,691,045.00|20,002,325.58
购建固定资产、无形资产和其他长期资产支付的现金|93,756,533.19|58,313,956.49
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|93,756,533.19|58,313,956.49
投资活动产生的现金流量净额|-89,065,488.19|-38,311,630.91
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|576,882,210.00|572,264,700.00
page|94
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|576,882,210.00|572,264,700.00
偿还债务支付的现金|591,118,350.00|523,281,759.00
分配股利、利润或偿付利息支付的现金|24,400,790.79|33,557,040.16
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|300,000.00|
筹资活动现金流出小计|615,819,140.79|556,838,799.16
筹资活动产生的现金流量净额|-38,936,930.79|15,425,900.84
四、汇率变动对现金及现金等价物的影响|-2,663,695.07|-2,555,498.83
五、现金及现金等价物净增加额|-66,331,558.01|93,248,854.93
加：期初现金及现金等价物余额|199,129,184.61|105,880,329.68
六、期末现金及现金等价物余额|132,797,626.60|199,129,184.61
