page|79
项目|2021 年度|2020 年度
一、营业总收入|1,386,729,249.89|1,509,463,141.36
其中：营业收入|1,386,729,249.89|1,509,463,141.36
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,363,944,921.56|1,438,545,202.12
其中：营业成本|1,090,286,093.43|1,157,128,007.59
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
page|80
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|11,160,753.09|11,363,903.51
销售费用|57,614,435.68|62,408,036.79
管理费用|86,338,717.95|91,277,542.17
研发费用|103,471,607.05|115,142,596.43
财务费用|15,073,314.36|1,225,115.63
其中：利息费用|1,334,374.18|709,802.19
利息收入|16,100,439.97|18,844,586.35
加：其他收益|26,463,786.67|25,352,686.77
投资收益（损失以“－”号填列）|22,430,949.09|20,344,006.37
其中：对联营企业和合营企业的投资收益|-194,111.38|-117,196.42
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|6,398,500.06|6,903,410.66
信用减值损失（损失以“-”号填列）|-4,132,239.77|-8,304,088.52
资产减值损失（损失以“-”号填列）|-28,946,639.90|-22,922,790.53
资产处置收益（损失以“-”号填列）|-381,095.71|-1,031,336.03
三、营业利润（亏损以“－”号填列）|44,617,588.77|91,259,827.96
加：营业外收入|1,614,030.06|4,139,075.22
减：营业外支出|2,592,256.22|5,050,222.02
四、利润总额（亏损总额以“－”号填列）|43,639,362.61|90,348,681.16
减：所得税费用|2,023,025.66|14,090,164.46
五、净利润（净亏损以“－”号填列）|41,616,336.95|76,258,516.70
page|81
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|41,616,336.95|76,258,516.70
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|41,120,177.41|71,003,266.91
2.少数股东损益|496,159.54|5,255,249.79
六、其他综合收益的税后净额|7,554,064.07|-6,043,572.78
归属母公司所有者的其他综合收益的税后净额|7,554,064.07|-6,043,572.78
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|7,554,064.07|-6,043,572.78
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|7,554,064.07|-6,043,572.78
7.其他||
归属于少数股东的其他综合收益的税后净额||
page|82
七、综合收益总额|49,170,401.02|70,214,943.92
归属于母公司所有者的综合收益总额|48,674,241.48|64,959,694.13
归属于少数股东的综合收益总额|496,159.54|5,255,249.79
八、每股收益：||
（一）基本每股收益|0.12|0.21
（二）稀释每股收益|0.12|0.21
