page|87
项目|2021 年度|2020 年度
一、营业总收入|929,697,401.75|578,056,435.44
其中：营业收入|929,697,401.75|578,056,435.44
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|832,063,831.02|521,267,244.85
其中：营业成本|713,560,189.18|424,193,702.66
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|4,611,438.88|3,853,707.47
销售费用|16,559,459.93|14,931,129.59
管理费用|48,598,844.18|38,472,424.55
page|88
研发费用|38,895,912.46|29,963,883.69
财务费用|9,837,986.39|9,852,396.89
其中：利息费用|9,434,566.24|10,206,850.45
利息收入|548,615.09|504,726.64
加：其他收益|14,811,714.27|7,924,789.66
投资收益（损失以“－”号填列）|4,483,720.98|1,049,935.13
其中：对联营企业和合营企业的投资收益|2,582,484.21|427,967.07
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|745,900.00|
信用减值损失（损失以“-”号填列）|-6,973,341.25|-1,970,729.58
资产减值损失（损失以“-”号填列）|-2,363,057.82|-2,989,238.61
资产处置收益（损失以“-”号填列）|-64,122.06|-73,293.40
三、营业利润（亏损以“－”号填列）|108,274,384.85|60,730,653.79
加：营业外收入|1,816,185.88|1,661,761.74
减：营业外支出|275,870.41|1,039,460.61
四、利润总额（亏损总额以“－”号填列）|109,814,700.32|61,352,954.92
减：所得税费用|12,122,605.26|7,021,159.18
五、净利润（净亏损以“－”号填列）|97,692,095.06|54,331,795.74
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|97,692,095.06|54,331,795.74
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|97,646,056.71|53,669,453.56
page|89
2.少数股东损益|46,038.35|662,342.18
六、其他综合收益的税后净额|59,550.59|55,138.20
归属母公司所有者的其他综合收益的税后净额|35,730.35|33,082.92
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|35,730.35|33,082.92
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|35,730.35|33,082.92
7.其他||
归属于少数股东的其他综合收益的税后净额|23,820.24|22,055.28
七、综合收益总额|97,751,645.65|54,386,933.94
归属于母公司所有者的综合收益总额|97,681,787.06|53,702,536.48
归属于少数股东的综合收益总额|69,858.59|684,397.46
八、每股收益：||
（一）基本每股收益|0.48|0.4
page|90
（二）稀释每股收益|0.48|0.4
