page|73
项目|附注|2020 年度|2019 年度
一、营业总收入||54,693,987,614.03|48,620,491,935.26
其中：营业收入|七、61|54,693,987,614.03|48,620,491,935.26
利息收入|||
手续费及佣金收入|||
二、营业总成本||52,879,596,999.26|46,026,761,493.71
其中：营业成本|七、61|50,411,434,690.39|43,873,801,266.16
利息支出|||
手续费及佣金支出|||
税金及附加|七、62|163,159,576.25|145,984,350.91
销售费用|七、63|59,470,500.28|116,960,452.57
管理费用|七、64|600,621,293.95|461,771,332.72
研发费用|七、65|1,550,037,431.01|1,398,944,376.85
财务费用|七、66|94,873,507.38|29,299,714.50
其中：利息费用||277,359,824.00|250,643,206.91
利息收入||119,589,058.10|235,336,826.28
加：其他收益|七、67|64,953,753.37|52,329,446.69
投资收益（损失以“－”号填列）|七、68|309,223.21|328,190.90
其中：对联营企业和合营企业的投资收益||309,223.21|328,190.90
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|-285,438.10|-6,571.03
资产减值损失（损失以“-”号填列）|七、72|302,453.03|6,221,580.91
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||1,879,670,606.28|2,652,603,089.02
加：营业外收入|七、74|13,061,436.74|8,165,397.81
减：营业外支出|七、75|9,097,186.81|10,105,610.69
四、利润总额（亏损总额以“－”号填列）||1,883,634,856.21|2,650,662,876.14
减：所得税费用|七、76|119,578,335.37|312,346,728.47
五、净利润（净亏损以“－”号填列）||1,764,056,520.84|2,338,316,147.67
（一）按经营持续性分类|||
page|74
1.持续经营净利润（净亏损以“－”号填列）||1,764,056,520.84|2,338,316,147.67
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,718,594,515.42|2,342,438,561.73
2.少数股东损益（净亏损以“-”号填列）||45,462,005.42|-4,122,414.06
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,764,056,520.84|2,338,316,147.67
（一）归属于母公司所有者的综合收益总额||1,718,594,515.42|2,342,438,561.73
（二）归属于少数股东的综合收益总额||45,462,005.42|-4,122,414.06
八、每股收益：|||
（一）基本每股收益(元/股)||0.67|0.91
（二）稀释每股收益(元/股)||0.67|0.91
