page|88
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|465,471,804.75|422,643,619.16
结算备付金||
拆出资金||
交易性金融资产|107,803,000.00|
衍生金融资产||
应收票据|3,857,763.81|22,721,814.72
应收账款|186,741,998.17|340,634,128.50
应收款项融资|10,279,713.84|7,884,646.97
预付款项|26,398,361.77|24,692,383.55
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|47,423,420.89|66,032,589.31
其中：应收利息||
应收股利||
买入返售金融资产||
存货|235,164,052.13|231,209,842.89
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|15,354,686.25|25,059,635.13
流动资产合计|1,098,494,801.61|1,140,878,660.23
非流动资产：||
发放贷款和垫款||
债权投资||
page|89
其他债权投资||
长期应收款||
长期股权投资|1,424,306,537.09|1,365,019,544.81
其他权益工具投资||
其他非流动金融资产|70,600,520.16|170,765,152.23
投资性房地产|690,177,119.46|710,832,011.34
固定资产|783,375,900.10|812,178,792.40
在建工程|86,463,675.82|24,783,499.51
生产性生物资产||
油气资产||
使用权资产|19,655,065.65|
无形资产|50,645,989.24|49,811,994.27
开发支出||
商誉|90,580,584.67|90,580,584.67
长期待摊费用|60,742,843.32|69,729,260.45
递延所得税资产|76,262,463.83|51,474,227.42
其他非流动资产|4,038,378.72|4,312,104.32
非流动资产合计|3,356,849,078.06|3,349,487,171.42
资产总计|4,455,343,879.67|4,490,365,831.65
流动负债：||
短期借款|311,956,734.86|562,475,295.84
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|6,000,000.00|
应付账款|236,865,130.30|264,302,913.72
预收款项|5,320,091.43|4,688,042.76
合同负债|6,368,655.23|11,507,255.06
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|27,652,554.78|25,991,855.36
page|90
应交税费|24,752,740.75|22,704,206.24
其他应付款|29,400,308.88|46,277,191.40
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|50,556,514.72|79,784,443.21
其他流动负债|1,242,197.49|950,762.82
流动负债合计|700,114,928.44|1,018,681,966.41
非流动负债：||
保险合同准备金||
长期借款|280,381,111.12|328,251,391.90
应付债券||
其中：优先股||
永续债||
租赁负债|7,525,673.38|
长期应付款||
长期应付职工薪酬||
预计负债|11,662,832.74|11,133,969.22
递延收益|46,878,226.83|45,229,024.00
递延所得税负债|28,269,526.83|4,513,722.93
其他非流动负债||
非流动负债合计|374,717,370.90|389,128,108.05
负债合计|1,074,832,299.34|1,407,810,074.46
所有者权益：||
股本|580,348,513.00|580,348,513.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,904,955,341.12|2,882,111,860.48
减：库存股||
其他综合收益||
专项储备||
page|91
盈余公积|109,397,557.43|109,397,557.43
一般风险准备||
未分配利润|-466,388,746.35|-602,193,295.16
归属于母公司所有者权益合计|3,128,312,665.20|2,969,664,635.75
少数股东权益|252,198,915.13|112,891,121.44
所有者权益合计|3,380,511,580.33|3,082,555,757.19
负债和所有者权益总计|4,455,343,879.67|4,490,365,831.65
