page|92
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,022,640,961.85|493,512,537.97
结算备付金|||
拆出资金|||
交易性金融资产|七、2|8,000,000.00|1,186,938.56
衍生金融资产|||
应收票据|||
应收账款|七、5|809,988,005.52|555,244,097.52
应收款项融资|七、6|12,132,881.55|11,330,000.00
预付款项|七、7|40,715,993.63|17,566,379.61
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|127,788,252.82|4,316,549.91
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|1,698,248,699.53|1,453,148,989.32
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|107,528,359.28|146,092,218.10
流动资产合计||3,827,043,154.18|2,682,397,710.99
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|424,559,650.95|430,127,301.02
其他权益工具投资|七、18|25,850,000.00|25,850,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|3,798,240,985.14|2,665,247,943.54
在建工程|七、22|216,779,271.60|1,169,009,622.31
生产性生物资产|||
油气资产|||
使用权资产|七、25|1,283,869.82|
无形资产|七、26|425,696,864.61|460,393,609.38
开发支出|||
商誉|||
长期待摊费用|七、29|165,395,989.96|145,876,315.92
递延所得税资产|七、30|18,312,162.76|16,307,638.69
page|93
其他非流动资产|七、31|6,124,088.11|33,759,492.48
非流动资产合计||5,082,242,882.95|4,946,571,923.34
资产总计||8,909,286,037.13|7,628,969,634.33
流动负债：|||
短期借款|七、32|1,495,359,974.45|1,321,619,381.18
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|621,739,369.50|587,304,141.26
应付账款|七、36|1,065,178,805.65|936,060,357.37
预收款项|||
合同负债|七、38|36,677,530.35|32,511,325.06
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|32,209,999.09|38,839,666.90
应交税费|七、40|6,383,139.72|4,745,228.08
其他应付款|七、41|50,091,215.24|32,644,146.42
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|76,958,234.58|95,091,987.50
其他流动负债|七、44|3,949,878.64|2,417,099.36
流动负债合计||3,388,548,147.22|3,051,233,333.13
非流动负债：|||
保险合同准备金|||
长期借款|七、45|1,166,310,875.84|833,691,594.12
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|613,342.59|
长期应付款|||
长期应付职工薪酬|||
预计负债|七、50|21,794,510.63|15,769,696.36
递延收益|七、51|41,575,000.00|45,732,500.00
递延所得税负债|七、30|9,112,416.13|10,206,924.48
其他非流动负债|||
非流动负债合计||1,239,406,145.19|905,400,714.96
负债合计||4,627,954,292.41|3,956,634,048.09
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,074,796,667.00|872,290,090.00
其他权益工具|||
其中：优先股|||
永续债|||
page|94
资本公积|七、55|2,207,161,574.48|1,522,996,840.89
减：库存股||12,836,800.00|
其他综合收益|七、57|-157,350,102.29|-3,068,123.06
专项储备|||
盈余公积|七、59|161,740,533.32|161,740,533.32
一般风险准备|||
未分配利润|七、60|1,007,866,039.04|1,118,376,245.09
归属于母公司所有者权益（或股东权益）合计||4,281,377,911.55|3,672,335,586.24
少数股东权益||-46,166.83|
所有者权益（或股东权益）合计||4,281,331,744.72|3,672,335,586.24
负债和所有者权益（或股东权益）总计||8,909,286,037.13|7,628,969,634.33
