page|137
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||573,058,417.15|561,839,259.62
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||6,616,034.51|5,292,413.84
收到其他与经营活动有关的现金|七、78|85,713,642.27|65,225,413.26
经营活动现金流入小计||665,388,093.93|632,357,086.72
购买商品、接受劳务支付的现金||180,478,379.53|158,902,921.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||154,494,488.83|109,527,428.90
支付的各项税费||68,822,452.99|70,629,950.98
支付其他与经营活动有关的现金|七、78|95,712,168.65|76,893,326.06
经营活动现金流出小计||499,507,490.00|415,953,627.54
经营活动产生的现金流量净额||165,880,603.93|216,403,459.18
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||9,028,468.43|274,684.64
处置固定资产、无形资产和其他长期资产收回的现金净额||40,400.00|29,388.17
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|1,022,900,000.00|
投资活动现金流入小计||1,031,968,868.43|304,072.81
购建固定资产、无形资产和其他长期资产支付的现金||133,910,020.42|139,713,727.61
投资支付的现金||14,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、78|1,666,100,000.00|
投资活动现金流出小计||1,814,010,020.42|139,713,727.61
投资活动产生的现金流量净额||-782,041,151.99|-139,409,654.80
三、筹资活动产生的现金流量：|||
page|138
吸收投资收到的现金||1,085,709,600.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||50,000,000.00
收到其他与筹资活动有关的现金|七、78||2,288,334.90
筹资活动现金流入小计||1,085,709,600.00|52,288,334.90
偿还债务支付的现金||50,000,000.00|
分配股利、利润或偿付利息支付的现金||59,410,694.45|805,763.91
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|21,170,748.90|3,296,381.91
筹资活动现金流出小计||130,581,443.35|4,102,145.82
筹资活动产生的现金流量净额||955,128,156.65|48,186,189.08
四、汇率变动对现金及现金等价物的影响||-21,651.12|62,016.96
五、现金及现金等价物净增加额||338,945,957.47|125,242,010.42
加：期初现金及现金等价物余额||487,241,515.01|361,999,504.59
六、期末现金及现金等价物余额||826,187,472.48|487,241,515.01
