page|64
项目|2021 年度|2020 年度
一、营业总收入|1,756,906,765.34|1,408,542,234.95
其中：营业收入|1,756,906,765.34|1,408,542,234.95
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,592,447,816.61|1,309,317,222.00
其中：营业成本|1,443,112,260.52|1,135,169,043.34
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|1,853,861.34|2,809,608.54
销售费用||486,056.20
管理费用|75,469,129.62|91,379,390.83
研发费用||
财务费用|72,012,565.13|79,473,123.09
其中：利息费用|78,712,799.19|84,422,127.90
利息收入|7,546,052.35|5,153,120.62
加：其他收益|352,488.03|23,950,402.16
投资收益（损失以“－”号填列）|984,167.37|27,177,176.35
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||18,420,880.00
信用减值损失（损失以“-”号填列）|-86,777,902.16|-41,791,255.49
资产减值损失（损失以“-”号填列）|-13,192,705.22|-4,663,592.34
资产处置收益（损失以“-”号填列）|1,315.26|
三、营业利润（亏损以“－”号填列）|65,826,312.01|122,318,623.63
加：营业外收入|5,530,678.06|199,725.72
减：营业外支出|9,453,012.97|5,733,132.29
四、利润总额（亏损总额以“－”号填列）|61,903,977.10|116,785,217.06
减：所得税费用|22,656,872.58|40,430,840.19
五、净利润（净亏损以“－”号填列）|39,247,104.52|76,354,376.87
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|39,247,104.52|76,354,376.87
2.终止经营净利润（净亏损以“－”号填列）||
page|65
（二）按所有权归属分类||
1.归属于母公司股东的净利润|23,458,663.00|39,839,573.38
2.少数股东损益|15,788,441.52|36,514,803.49
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|39,247,104.52|76,354,376.87
归属于母公司所有者的综合收益总额|23,458,663.00|39,839,573.38
归属于少数股东的综合收益总额|15,788,441.52|36,514,803.49
八、每股收益：||
（一）基本每股收益|0.0286|0.0486
（二）稀释每股收益|0.0286|0.0486
