page|117
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|6,866,585,389.16|5,571,507,848.14
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
page|118
项目|2021 年度|2020 年度
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|173,696,211.68|159,477,442.06
经营活动现金流入小计|7,040,281,600.84|5,730,985,290.20
购买商品、接受劳务支付的现金|4,747,631,379.19|3,967,612,377.57
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|655,399,201.53|485,362,753.68
支付的各项税费|416,484,809.63|486,022,130.89
支付其他与经营活动有关的现金|609,631,643.15|239,807,747.75
经营活动现金流出小计|6,429,147,033.50|5,178,805,009.88
经营活动产生的现金流量净额|611,134,567.34|552,180,280.32
二、投资活动产生的现金流量：||
收回投资收到的现金|438,300,000.00|504,769,858.79
取得投资收益收到的现金|2,768,024.81|3,101,981.53
处置固定资产、无形资产和其他长期资产收回的现金净额|5,619,966.39|12,111,459.87
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||32,452,400.00
投资活动现金流入小计|446,687,991.20|552,435,700.19
购建固定资产、无形资产和其他长期资产支付的现金|421,961,938.07|607,056,623.64
投资支付的现金|666,300,000.00|780,010,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||47,452,400.00
投资活动现金流出小计|1,088,261,938.07|1,434,519,023.64
page|119
项目|2021 年度|2020 年度
投资活动产生的现金流量净额|-641,573,946.87|-882,083,323.45
三、筹资活动产生的现金流量：||
吸收投资收到的现金|283,584,109.00|59,067,903.00
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|1,906,042,992.25|1,267,395,629.38
收到其他与筹资活动有关的现金|40,136,216.43|416,789,389.85
筹资活动现金流入小计|2,229,763,317.68|1,743,252,922.23
偿还债务支付的现金|1,211,757,629.86|1,029,200,000.00
分配股利、利润或偿付利息支付的现金|147,098,571.84|31,013,875.73
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|220,975,824.25|35,014,488.00
筹资活动现金流出小计|1,579,832,025.95|1,095,228,363.73
筹资活动产生的现金流量净额|649,931,291.73|648,024,558.50
四、汇率变动对现金及现金等价物的影响|277,371.39|-336,295.43
五、现金及现金等价物净增加额|619,769,283.59|317,785,219.94
加：期初现金及现金等价物余额|1,255,988,931.92|938,203,711.98
六、期末现金及现金等价物余额|1,875,758,215.51|1,255,988,931.92
