page|115
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|111,523,754.60|27,397,069.51
结算备付金|||
拆出资金|||
交易性金融资产|七、2|204,433,262.87|
衍生金融资产|||
应收票据|||
应收账款|七、5|73,398,760.27|73,985,228.69
应收款项融资|七、6|40,728,243.12|24,495,679.46
预付款项|七、7|1,167,329.88|468,936.61
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|11,864.20|22,980.00
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|39,251,781.03|31,786,877.33
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|5,624,908.21|4,487,742.73
流动资产合计||476,139,904.18|162,644,514.33
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|73,919,362.05|47,295,802.92
在建工程|七、22|13,173,825.91|3,847,399.51
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|8,253,512.11|6,894,145.39
开发支出|||
商誉|||
长期待摊费用|七、29|8,933,448.62|3,918,588.94
递延所得税资产|七、30|866,507.49|745,857.83
page|116
其他非流动资产|七、31|114,145,785.29|4,568,507.08
非流动资产合计||219,292,441.47|67,270,301.67
资产总计||695,432,345.65|229,914,816.00
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|55,961,388.17|52,388,847.13
预收款项|||
合同负债|七、38|138,385.20|562,312.64
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|14,730,072.42|9,687,471.12
应交税费|七、40|533,246.60|1,819,230.97
其他应付款|七、41|76,678.77|23,362.79
其中：应付利息||47,777.78|
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|5,000,000.00|
其他流动负债|七、44|2,555,830.17|235,855.78
流动负债合计||78,995,601.33|64,717,080.43
非流动负债：|||
保险合同准备金|||
长期借款|七、45|38,000,000.00|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债||7,271,979.25|2,902,701.10
其他非流动负债|||
非流动负债合计||45,271,979.25|2,902,701.10
负债合计||124,267,580.58|67,619,781.53
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|80,000,000.00|60,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
page|117
资本公积|七、55|359,789,859.55|67,832,312.38
减：库存股|||
其他综合收益|七、57|-35,120.00|
专项储备|||
盈余公积|七、59|13,786,489.80|3,446,272.21
一般风险准备|||
未分配利润|七、60|117,623,535.72|31,016,449.88
归属于母公司所有者权益（或股东权益）合计||571,164,765.07|162,295,034.47
少数股东权益|||
所有者权益（或股东权益）合计||571,164,765.07|162,295,034.47
负债和所有者权益（或股东权益）总计||695,432,345.65|229,914,816.00
