page|80
项目|附 注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||382,540,849.48|906,631,509.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,967,489.79|5,685,083.64
收到其他与经营活动有关的现金||91,831,475.08|58,498,619.25
经营活动现金流入小计||478,339,814.35|970,815,212.23
购买商品、接受劳务支付的现金||211,581,521.77|759,981,344.98
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||115,969,572.38|123,627,340.81
支付的各项税费||25,208,603.02|38,747,687.60
支付其他与经营活动有关的现金||205,837,862.38|238,863,212.17
经营活动现金流出小计||558,597,559.55|1,161,219,585.56
经营活动产生的现金流量净额||-80,257,745.20|-190,404,373.33
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||2,000,000.00|47,557,965.87
处置固定资产、无形资产和其他长期资产收回的现金净额||293,375.00|148,434.17
处置子公司及其他营业单位收到的现金净额||14,922,039.85|217,859,743.71
收到其他与投资活动有关的现金|||20,624,371.33
投资活动现金流入小计||17,215,414.85|286,190,515.08
购建固定资产、无形资产和其他长期资产支付的现金||21,552,096.97|219,414,790.87
投资支付的现金|||75,200,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||4,000,000.00
支付其他与投资活动有关的现金|||24,696,594.99
投资活动现金流出小计||21,552,096.97|323,311,385.86
投资活动产生的现金流量净额||-4,336,682.12|-37,120,870.78
page|81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||193,850,000.00|614,400,000.00
收到其他与筹资活动有关的现金||156,682,441.75|263,366,680.00
筹资活动现金流入小计||350,532,441.75|877,766,680.00
偿还债务支付的现金||208,850,000.00|648,585,112.15
分配股利、利润或偿付利息支付的现金||40,573,212.21|41,818,858.01
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||40,955,166.87|38,482,655.93
筹资活动现金流出小计||290,378,379.08|728,886,626.09
筹资活动产生的现金流量净额||60,154,062.67|148,880,053.91
四、汇率变动对现金及现金等价物的影响||-127,724.91|-1,216,789.18
五、现金及现金等价物净增加额||-24,568,089.56|-79,861,979.38
加：期初现金及现金等价物余额||48,522,219.28|128,384,198.66
六、期末现金及现金等价物余额||23,954,129.72|48,522,219.28
