page|84
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|644,108,717.28|552,365,446.77
结算备付金||
拆出资金||
交易性金融资产|67,700,000.00|76,800,000.00
衍生金融资产||
应收票据|72,004,706.13|51,907,191.63
应收账款|709,466,409.71|661,615,641.85
应收款项融资||
预付款项|21,241,081.88|44,823,875.14
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|33,908,441.59|36,750,478.99
其中：应收利息||1,313,342.47
应收股利||
买入返售金融资产||
存货|6,494,254.53|1,521,674.02
合同资产|947,313,710.86|478,019,499.05
持有待售资产||
一年内到期的非流动资产||
其他流动资产|7,894,562.43|4,489,609.39
流动资产合计|2,510,131,884.41|1,908,293,416.84
非流动资产：||
发放贷款和垫款||
债权投资||
page|85
其他债权投资||
长期应收款||
长期股权投资|124,144,155.70|113,723,994.07
其他权益工具投资||
其他非流动金融资产||
投资性房地产|5,065,710.94|5,453,809.78
固定资产|156,307,307.66|138,484,415.25
在建工程|133,842,987.57|94,288,646.25
生产性生物资产||
油气资产||
使用权资产|39,952,580.23|
无形资产|170,822,312.12|175,273,210.97
开发支出||
商誉|266,680,915.98|285,959,405.50
长期待摊费用|7,665,584.51|9,148,693.20
递延所得税资产|27,999,689.74|21,993,037.15
其他非流动资产|428,603.77|520,104.97
非流动资产合计|932,909,848.22|844,845,317.14
资产总计|3,443,041,732.63|2,753,138,733.98
流动负债：||
短期借款|331,777,106.52|320,079,398.64
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|40,443,580.00|
应付账款|857,357,234.56|429,304,078.78
预收款项||
合同负债|229,426,213.48|209,593,138.50
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|81,098,882.28|68,498,161.14
page|86
应交税费|65,033,286.08|62,767,385.06
其他应付款|23,404,560.12|32,600,831.01
其中：应付利息||
应付股利|3,199,475.04|2,450,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|11,036,309.92|
其他流动负债|62,357,727.64|60,775,110.56
流动负债合计|1,701,934,900.60|1,183,618,103.69
非流动负债：||
保险合同准备金||
长期借款|41,600,388.65|
应付债券||
其中：优先股||
永续债||
租赁负债|30,221,798.00|
长期应付款||
长期应付职工薪酬||
预计负债|575,887.25|
递延收益|24,587,508.38|26,934,491.74
递延所得税负债|8,314,221.24|11,604,432.00
其他非流动负债||
非流动负债合计|105,299,803.52|38,538,923.74
负债合计|1,807,234,704.12|1,222,157,027.43
所有者权益：||
股本|174,139,024.00|174,480,186.00
其他权益工具||
其中：优先股||
永续债||
资本公积|732,886,403.10|737,045,167.88
减：库存股|3,852,717.85|4,499,926.78
其他综合收益||
专项储备||
page|87
盈余公积|71,168,291.54|59,664,905.39
一般风险准备||
未分配利润|596,985,063.42|488,972,151.63
归属于母公司所有者权益合计|1,571,326,064.21|1,455,662,484.12
少数股东权益|64,480,964.30|75,319,222.43
所有者权益合计|1,635,807,028.51|1,530,981,706.55
负债和所有者权益总计|3,443,041,732.63|2,753,138,733.98
