page|46
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|322,656,413.45|522,077,956.20
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|七、5|46,785,243.34|55,664,390.92
应收款项融资|||
预付款项|七、7|41,310,938.73|183,137,004.87
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|199,277,949.60|3,676,999.93
其中：应收利息||4,627,363.75|
应收股利|||
买入返售金融资产|||
存货|七、9|222,993,986.12|117,475,627.70
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|79,747,840.51|89,309,353.14
流动资产合计||912,772,371.75|971,341,332.76
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|七、20|15,433,374.92|16,303,259.72
固定资产|七、21|1,377,077,434.98|1,259,170,099.32
在建工程|七、22|477,349,375.16|442,742,924.09
生产性生物资产|||
油气资产|||
使用权资产|七、25|9,367,935.05|
无形资产|七、26|819,499.36|835,463.68
开发支出|||
商誉|||
长期待摊费用|七、29|1,973,292.00|2,837,036.05
递延所得税资产|七、30|15,539,778.06|17,156,114.89
page|47
其他非流动资产|||
非流动资产合计||1,897,560,689.53|1,739,044,897.75
资产总计||2,810,333,061.28|2,710,386,230.51
流动负债：|||
短期借款|七、32|237,200,000.00|473,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|309,388,365.00|62,571,318.00
应付账款|七、36|95,562,446.53|223,000,663.24
预收款项|七、37||72,000.00
合同负债|七、38|289,813,063.57|297,294,498.10
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|6,110,476.74|7,255,301.10
应交税费|七、40|7,248,854.89|8,537,928.05
其他应付款|七、41|8,989,785.72|6,055,866.55
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|419,619,500.52|900,000.00
其他流动负债|七、44|5,424,003.86|
流动负债合计||1,379,356,496.83|1,078,687,575.04
非流动负债：|||
保险合同准备金|||
长期借款|七、45|779,700,000.00|868,600,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|8,836,351.13|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|43,009,326.43|17,074,764.66
递延所得税负债|七、30|2,272,823.59|2,409,265.81
其他非流动负债|||
非流动负债合计||833,818,501.15|888,084,030.47
负债合计||2,213,174,997.98|1,966,771,605.51
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|404,599,600.00|404,599,600.00
其他权益工具|||
其中：优先股|||
永续债|||
page|48
资本公积|七、55|102,173,294.67|102,173,294.67
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|174,324,202.47|174,324,202.47
一般风险准备|||
未分配利润|七、60|-83,939,033.84|62,517,527.86
归属 于母公司所有 者权益（或股东权益）合计||597,158,063.30|743,614,625.00
少数股东权益|||
所 有 者 权 益 （ 或 股 东 权益）合计||597,158,063.30|743,614,625.00
负债和所有者权益（或股东权益）总计||2,810,333,061.28|2,710,386,230.51
