page|115
项目|附注|2021 年度|2020 年度
一、营业总收入||213,737,041.59|163,344,281.22
其中：营业收入|七、61|213,737,041.59|163,344,281.22
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||180,440,937.26|131,763,961.60
其中：营业成本|七、61|90,893,453.51|68,075,913.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|2,133,338.65|1,568,892.00
销售费用|七、63|36,889,112.88|28,580,933.67
管理费用|七、64|25,852,714.27|20,062,869.92
研发费用|七、65|29,275,445.09|15,370,061.95
财务费用|七、66|-4,603,127.14|-1,894,709.19
其中：利息费用|||
利息收入||674,360.72|198,133.91
加：其他收益|七、67|421,627.94|223,105.55
page|116
投资收益（损失以“－”号填列）|七、68|10,472,833.67|2,062,381.22
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|435,300.48|557,765.75
信用减值损失（损失以“-”号填列）|七、71|-220,687.62|-76,706.79
资产减值损失（损失以“-”号填列）|七、72|-42,640.05|-
资产处置收益（损失以“－”号填列）|七、73|520,234.80|5,379.09
三、营业利润（亏损以“－”号填列）||44,882,773.55|34,352,244.44
加：营业外收入|七、74|3,737,248.01|6,078,884.52
减：营业外支出|七、75|2,527,537.19|230,276.57
四、利润总额（亏损总额以“－”号填列）||46,092,484.37|40,200,852.39
减：所得税费用|七、76|4,673,071.17|5,252,728.37
五、净利润（净亏损以“－”号填列）||41,419,413.20|34,948,124.02
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||41,419,413.20|34,948,124.02
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||41,419,413.20|34,948,124.02
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||221,506.12|-34,990.20
（一）归属母公司所有者的其他综合收益的税后净额||221,506.12|-34,990.20
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|117
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||221,506.12|-34,990.20
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||221,506.12|-34,990.20
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||41,640,919.32|34,913,133.82
（一）归属于母公司所有者的综合收益总额||41,640,919.32|34,913,133.82
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.52|0.54
（二）稀释每股收益(元/股)||0.51|0.54
