page|88
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|141,873,341.78|13,330,524.40
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|9,930,465.44|29,022,389.55
应收账款|277,795,685.25|266,582,868.16
应收款项融资||
预付款项|9,279,404.32|8,870,059.82
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|25,614,968.33|40,355,156.54
其中：应收利息|1,501,380.00|
应收股利||
买入返售金融资产||
存货|151,709,525.29|122,314,961.21
合同资产|3,610,785.37|43,717,182.40
持有待售资产||
一年内到期的非流动资产||
其他流动资产|40,824,913.93|21,116,236.45
流动资产合计|660,639,089.71|545,309,378.53
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|1,000,000.00|1,000,000.00
其他非流动金融资产||
投资性房地产||
固定资产|300,794,005.31|357,890,001.77
page|89
在建工程|358,776,935.60|8,165,277.12
生产性生物资产||
油气资产||
使用权资产||
无形资产|38,193,807.79|39,470,217.15
开发支出||
商誉||
长期待摊费用|592,640.20|
递延所得税资产|19,540,306.56|31,621,703.34
其他非流动资产|10,238,706.40|6,525,196.47
非流动资产合计|729,136,401.86|444,672,395.85
资产总计|1,389,775,491.57|989,981,774.38
流动负债：||
短期借款|354,576,000.00|153,307,757.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|54,068,073.73|39,624,460.20
应付账款|265,887,570.76|95,647,517.13
预收款项||
合同负债|4,080,219.87|34,677,337.81
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|17,718,182.62|23,229,836.93
应交税费|3,469,466.02|8,243,707.29
其他应付款|27,685,827.28|63,684,094.38
其中：应付利息|7,446,005.36|393,331.31
应付股利|7,009.22|7,009.22
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|90
一年内到期的非流动负债|1,612,520.49|11,375,899.04
其他流动负债|7,638,804.88|8,972,616.52
流动负债合计|736,736,665.65|438,763,226.30
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|231,207,543.67|
长期应付职工薪酬||
预计负债|67,604,085.23|27,871,899.78
递延收益|19,781,293.01|15,493,383.58
递延所得税负债|607,052.17|796,331.61
其他非流动负债|25,505,722.42|
非流动负债合计|344,705,696.50|44,161,614.97
负债合计|1,081,442,362.15|482,924,841.27
所有者权益：||
股本|216,000,000.00|216,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|386,833,055.90|386,833,055.90
减：库存股||
其他综合收益|2,624,657.77|-775,976.40
专项储备||
盈余公积|55,916,539.74|55,916,539.74
一般风险准备||
未分配利润|-350,599,656.98|-148,966,616.73
归属于母公司所有者权益合计|310,774,596.43|509,007,002.51
少数股东权益|-2,441,467.01|-1,950,069.40
所有者权益合计|308,333,129.42|507,056,933.11
负债和所有者权益总计|1,389,775,491.57|989,981,774.38
