page|127
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|5,650,476,745.43|3,316,676,802.93
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|183,409,948.55|185,075,574.26
收到其他与经营活动有关的现金|941,726,658.88|600,156,576.79
经营活动现金流入小计|6,775,613,352.86|4,101,908,953.98
购买商品、接受劳务支付的现金|3,017,122,584.76|2,151,406,352.94
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的|1,016,165,440.58|722,077,672.30
page|128
现金||
支付的各项税费|57,559,800.62|123,556,033.66
支付其他与经营活动有关的现金|773,400,218.25|349,479,436.07
经营活动现金流出小计|4,864,248,044.21|3,346,519,494.97
经营活动产生的现金流量净额|1,911,365,308.65|755,389,459.01
二、投资活动产生的现金流量：||
收回投资收到的现金|30,600,000.00|
取得投资收益收到的现金|11,318,478.41|
处置固定资产、无形资产和其他长期资产收回的现金净额|297,049,403.36|553,009,473.94
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|338,967,881.77|553,009,473.94
购建固定资产、无形资产和其他长期资产支付的现金|820,938,032.03|2,410,457,698.12
投资支付的现金|600,000,000.00|1,067,400,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|4,619,869.80|
投资活动现金流出小计|1,425,557,901.83|3,477,857,698.12
投资活动产生的现金流量净额|-1,086,590,020.06|-2,924,848,224.18
三、筹资活动产生的现金流量：||
吸收投资收到的现金|70,656,725.00|
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|11,119,207,214.59|9,134,652,305.48
收到其他与筹资活动有关的现金|2,779,051,995.74|1,811,347,859.62
筹资活动现金流入小计|13,968,915,935.33|10,946,000,165.10
偿还债务支付的现金|10,378,160,722.97|6,628,761,125.87
分配股利、利润或偿付利息支付的现金|788,478,257.36|762,728,337.11
page|129
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|3,253,446,442.01|2,525,554,938.26
筹资活动现金流出小计|14,420,085,422.34|9,917,044,401.24
筹资活动产生的现金流量净额|-451,169,487.01|1,028,955,763.86
四、汇率变动对现金及现金等价物的影响|-7,142,261.27|-24,560,608.77
五、现金及现金等价物净增加额|366,463,540.31|-1,165,063,610.08
加：期初现金及现金等价物余额|2,252,635,001.96|3,417,698,612.04
六、期末现金及现金等价物余额|2,619,098,542.27|2,252,635,001.96
