page|107
项目|2021 年度|2020 年度
一、营业总收入|5,748,727,046.65|5,687,670,426.40
其中：营业收入|5,748,727,046.65|5,687,670,426.40
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|5,385,839,442.90|5,082,276,892.49
其中：营业成本|4,745,401,964.24|4,335,178,471.32
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|62,193,161.49|61,107,241.68
销售费用|41,663,030.54|43,992,014.41
管理费用|189,413,756.18|227,382,654.22
研发费用|152,365,520.87|157,380,412.21
财务费用|194,802,009.58|257,236,098.65
其中：利息费用|168,522,641.53|234,014,209.65
利息收入|10,699,099.68|18,953,121.33
加：其他收益|30,908,826.66|22,322,966.84
投资收益（损失以“－”号填列）|1,173,953.42|1,083,467.08
其中：对联营企业和合营企业的投资收益|1,173,953.42|1,083,467.08
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
page|108
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-51,086,834.30|-58,359,110.58
资产减值损失（损失以“-”号填列）|12,784,413.98|-43,367,975.54
资产处置收益（损失以“-”号填列）|-1,296,730.44|436,608.39
三、营业利润（亏损以“－”号填列）|355,371,233.07|527,509,490.10
加：营业外收入|7,890,601.32|2,113,702.67
减：营业外支出|4,371,042.62|15,090,951.13
四、利润总额（亏损总额以“－”号填列）|358,890,791.77|514,532,241.64
减：所得税费用|59,095,055.20|110,439,472.04
五、净利润（净亏损以“－”号填列）|299,795,736.57|404,092,769.60
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|299,795,736.57|404,092,769.60
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|284,618,271.24|381,322,144.40
2.少数股东损益|15,177,465.33|22,770,625.20
六、其他综合收益的税后净额|1,447,152.33|-304,867.30
归属母公司所有者的其他综合收益的税后净额|1,447,152.33|-304,867.30
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合|1,447,152.33|-304,867.30
page|109
收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|1,447,152.33|-304,867.30
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|301,242,888.90|403,787,902.30
归属于母公司所有者的综合收益总额|285,934,690.78|381,017,277.10
归属于少数股东的综合收益总额|15,308,198.12|22,770,625.20
八、每股收益：||
（一）基本每股收益|0.08|0.12
（二）稀释每股收益|0.08|0.12
