page|51
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||196,458,707.88|233,061,117.41
结算备付金|||
拆出资金|||
交易性金融资产||75,561.33|
衍生金融资产|||
应收票据||236,657,667.73|56,658,066.30
应收账款||224,279,881.59|136,690,918.22
应收款项融资||176,523,127.13|407,576,333.73
预付款项||3,979,799.60|2,853,373.66
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||1,220,407.43|1,242,498.70
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||152,375,662.76|266,497,901.48
合同资产||14,308,280.70|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||4,935,441.19|10,029,859.83
流动资产合计||1,010,814,537.34|1,114,610,069.33
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产||12,933,607.05|15,996.62
固定资产||141,352,018.62|189,771,952.98
在建工程||1,701,834.88|3,295,681.14
生产性生物资产|||
油气资产|||
使用权资产||33,693,716.79|
无形资产||24,752,906.41|31,639,198.83
开发支出||7,186,648.57|
page|52
商誉|||
长期待摊费用||178,247.07|720,649.79
递延所得税资产||18,380,860.20|15,567,682.63
其他非流动资产||5,422,639.23|2,569,477.80
非流动资产合计||245,602,478.82|243,580,639.79
资产总计||1,256,417,016.16|1,358,190,709.12
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||246,597,296.96|251,390,507.46
应付账款||166,098,710.20|325,786,007.06
预收款项|||
合同负债||4,426,860.57|5,084,973.14
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||7,874,001.60|7,470,671.80
应交税费||4,070,484.55|4,239,814.05
其他应付款||45,644,158.13|37,132,303.74
其中：应付利息|||
应付股利||4,749,548.04|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||12,478,884.04|8,241,952.77
其他流动负债||40,529,691.86|4,432,797.75
流动负债合计||527,720,087.91|643,779,027.77
非流动负债：|||
保险合同准备金|||
长期借款|||4,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债||23,017,941.99|
长期应付款|||21,459,675.50
长期应付职工薪酬|||
预计负债||19,263,350.45|25,359,996.43
递延收益||44,165,960.28|48,476,850.69
递延所得税负债||317,296.38|360,103.46
其他非流动负债|||
非流动负债合计||86,764,549.10|99,656,626.08
page|53
负债合计||614,484,637.01|743,435,653.85
所有者权益（或股东权益）：|||
实收资本（或股本）||141,516,450.00|141,516,450.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||89,117,475.01|89,117,475.01
减：库存股|||
其他综合收益||-2,163,862.30|-2,050,619.44
专项储备||10,430,468.20|12,796,970.82
盈余公积||36,614,479.64|34,361,071.06
一般风险准备|||
未分配利润||219,210,122.90|205,752,208.76
归属于母公司所有者权益（或股东权益）合计||494,725,133.45|481,493,556.21
少数股东权益||147,207,245.70|133,261,499.06
所有者权益（或股东权益）合计||641,932,379.15|614,755,055.27
负债和所有者权益（或股东权益）总计||1,256,417,016.16|1,358,190,709.12
