page|90
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|919,815,778.45|1,165,407,564.22
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金|130,052,635.78|194,351,934.12
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|93,959,769.54|136,539,117.05
经营活动现金流入小计|1,143,828,183.77|1,496,298,615.39
购买商品、接受劳务支付的现金|490,971,801.93|634,163,230.54
page|91
客户贷款及垫款净增加额|112,441,087.96|-471,566,935.09
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|261,136,954.34|269,697,595.13
支付的各项税费|34,406,987.83|74,834,090.13
支付其他与经营活动有关的现金|60,962,421.77|180,895,324.36
经营活动现金流出小计|959,919,253.83|688,023,305.07
经营活动产生的现金流量净额|183,908,929.94|808,275,310.32
二、投资活动产生的现金流量：||
收回投资收到的现金|777,902,812.33|56,621,432.74
取得投资收益收到的现金|69,628,426.24|47,107,772.09
处置固定资产、无形资产和其他长期资产收回的现金净额|6,596,184.01|92,172.70
处置子公司及其他营业单位收到的现金净额|3,500,000.00|
收到其他与投资活动有关的现金|2,109,754,735.70|4,175,156,118.86
投资活动现金流入小计|2,967,382,158.28|4,278,977,496.39
购建固定资产、无形资产和其他长期资产支付的现金|73,279,471.88|12,730,227.06
投资支付的现金|310,129,205.48|290,773,996.67
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|3,839,303,449.48|4,490,731,806.23
投资活动现金流出小计|4,222,712,126.84|4,794,236,029.96
投资活动产生的现金流量净额|-1,255,329,968.56|-515,258,533.57
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|5,021,451,657.19|3,642,087,503.45
page|92
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|5,021,451,657.19|3,642,087,503.45
偿还债务支付的现金|5,091,894,661.64|3,923,888,785.39
分配股利、利润或偿付利息支付的现金|14,021,857.10|133,904,960.53
其中：子公司支付给少数股东的股利、利润||9,535,375.51
支付其他与筹资活动有关的现金|269,034,527.58|114,438,800.00
筹资活动现金流出小计|5,374,951,046.32|4,172,232,545.92
筹资活动产生的现金流量净额|-353,499,389.13|-530,145,042.47
四、汇率变动对现金及现金等价物的影响|7,276,245.18|-9,431,775.45
五、现金及现金等价物净增加额|-1,417,644,182.57|-246,560,041.17
加：期初现金及现金等价物余额|2,745,000,733.64|2,991,560,774.81
六、期末现金及现金等价物余额|1,327,356,551.07|2,745,000,733.64
