page|85
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,597,513,662.15|8,963,885,299.55
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
page|86
代理买卖证券收到的现金净额|||
收到的税费返还||19,031,413.64|95,762,235.08
收到其他与经营活动有关的现金|78|250,127,792.89|197,519,033.21
经营活动现金流入小计||8,866,672,868.68|9,257,166,567.84
购买商品、接受劳务支付的现金||7,278,290,728.09|7,546,135,034.77
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||609,211,964.06|519,019,752.57
支付的各项税费||92,126,168.78|52,242,145.24
支付其他与经营活动有关的现金|78|551,679,529.57|567,298,867.57
经营活动现金流出小计||8,531,308,390.50|8,684,695,800.15
经营活动产生的现金流量净额||335,364,478.18|572,470,767.69
二、投资活动产生的现金流量：|||
收回投资收到的现金||371,252,504.51|66,748,086.66
取得投资收益收到的现金||2,013,986.00|2,397,103.82
处置固定资产、无形资产和其他长期资产收回的现金净额||551,599.40|318,397.24
处置子公司及其他营业单位收到的现金净额|||1,992,401.53
收到其他与投资活动有关的现金|78||
投资活动现金流入小计||373,818,089.91|71,455,989.25
购建固定资产、无形资产和其他长期资产支付的现金||159,639,179.72|164,249,974.38
投资支付的现金||408,000,000.00|59,544,100.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78||
投资活动现金流出小计||567,639,179.72|223,794,074.38
投资活动产生的现金流量净额||-193,821,089.81|-152,338,085.13
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
page|87
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,180,000,000.00|1,320,776,000.00
收到其他与筹资活动有关的现金|78|51,680,484.21|2,000,650.00
筹资活动现金流入小计||1,231,680,484.21|1,322,776,650.00
偿还债务支付的现金||1,378,121,570.26|1,526,244,037.31
分配股利、利润或偿付利息支付的现金||59,264,328.90|60,788,181.49
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|78|32,930,148.15|4,000,453.00
筹资活动现金流出小计||1,470,316,047.31|1,591,032,671.80
筹资活动产生的现金流量净额||-238,635,563.10|-268,256,021.80
四、汇率变动对现金及现金等价物的影响||-62,409,841.17|-72,003,072.83
五、现金及现金等价物净增加额||-159,502,015.90|79,873,587.93
加：期初现金及现金等价物余额||764,182,980.51|684,309,392.58
六、期末现金及现金等价物余额||604,680,964.61|764,182,980.51
