page|53
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||1,775,633,452.12|1,857,039,491.55
结算备付金|||
拆出资金|||
交易性金融资产||64,400.00|
衍生金融资产|||
应收票据||124,239,413.12|79,158,551.73
应收账款||601,888,365.67|295,049,737.88
应收款项融资||115,600,518.68|67,088,765.84
预付款项||4,688,190.58|2,618,022.21
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||4,138,213.27|4,054,898.84
其中：应收利息|||1,121,600.00
应收股利|||
买入返售金融资产|||
存货||400,535,976.54|268,400,341.09
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||15,893,384.66|6,009,212.61
流动资产合计||3,042,681,914.64|2,579,419,021.75
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||200,866,066.41|33,312,793.43
在建工程||221,873,847.70|189,038,396.02
生产性生物资产|||
油气资产|||
使用权资产||22,541,686.30|
无形资产||29,073,948.76|32,135,112.96
开发支出|||
商誉|||
长期待摊费用||6,217,041.03|1,150,538.53
递延所得税资产||9,586,822.03|4,538,283.02
其他非流动资产||10,063,525.44|11,039,115.65
非流动资产合计||500,222,937.67|271,214,239.61
资产总计||3,542,904,852.31|2,850,633,261.36
流动负债：|||
短期借款||3,000,000.00|
page|54
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款||668,546,197.54|396,846,219.23
预收款项|||
合同负债||62,398,622.56|48,516,183.60
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||27,050,416.06|15,028,130.24
应交税费||38,056,742.38|19,247,235.59
其他应付款||5,720,324.93|12,812,040.04
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||8,094,245.52|
其他流动负债||41,576,552.12|22,862,112.71
流动负债合计||854,443,101.11|515,311,921.41
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||13,342,504.74|
长期应付款|||32,433,210.44
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债||9,660.00|
其他非流动负债|||
非流动负债合计||13,352,164.74|32,433,210.44
负债合计||867,795,265.85|547,745,131.85
所有者权益（或股东权益）：|||
实收资本（或股本）||120,304,050.00|120,314,955.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||1,413,809,833.32|1,401,651,006.34
减：库存股|||
其他综合收益||-4,650,872.31|1,262,959.57
专项储备|||
盈余公积||60,157,477.50|60,157,477.50
page|55
一般风险准备|||
未分配利润||1,085,489,097.95|719,501,731.10
归属于母公司所有者权益（或股东权益）合计||2,675,109,586.46|2,302,888,129.51
少数股东权益|||
所有者权益（或股东权益）合计||2,675,109,586.46|2,302,888,129.51
负债和所有者权益（或股东权益）总计||3,542,904,852.31|2,850,633,261.36
