page|60
项目|附注|2021 年度|2020 年度
一、营业总收入||3,196,373,480.24|3,305,223,664.72
其中：营业收入|七、61|3,187,954,500.69|3,294,698,994.57
利息收入||8,418,979.55|10,524,670.15
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,820,061,665.71|3,040,536,175.78
其中：营业成本|七、61|2,101,914,537.92|2,255,386,907.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|314,300,667.37|419,912,401.56
销售费用|七、63|84,641,999.50|78,517,434.77
管理费用|七、64|132,268,988.16|103,662,089.91
研发费用|||
财务费用|七、66|186,935,472.76|183,057,342.29
其中：利息费用||181,691,335.04|183,299,662.93
利息收入||17,044,997.44|16,417,114.02
加：其他收益|七、67|1,762,059.32|1,034,561.58
投资收益（损失以“－”号填列）|七、68|-64,840,288.47|118,797,580.92
其中：对联营企业和合营企业的投资收益||-112,535,738.17|4,445,473.37
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
page|61
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|2,109,095.93|-5,535,819.93
信用减值损失（损失以“-”号填列）|七、71|-27,899,179.06|2,059,749.61
资产减值损失（损失以“-”号填列）|七、72|168,800,000.00|
资产处置收益（损失以“－”号填列）|七、73||-26,224.90
三、营业利润（亏损以“－”号填列）||456,243,502.25|381,017,336.22
加：营业外收入|七、74|6,432,091.79|29,778,925.81
减：营业外支出|七、75|4,311,072.62|1,512,215.13
四、利润总额（亏损总额以“－”号填列）||458,364,521.42|409,284,046.90
减：所得税费用|七、76|103,202,741.36|92,662,771.94
五、净利润（净亏损以“－”号填列）||355,161,780.06|316,621,274.96
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||355,161,780.06|316,621,274.96
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||369,725,727.91|326,477,927.23
2.少数股东损益（净亏损以“-”号填列）||-14,563,947.85|-9,856,652.27
六、其他综合收益的税后净额||11,134,477.29|-52,183,896.86
（一）归属母公司所有者的其他综合收益的税后净额||11,134,477.29|-52,183,896.86
1．不能重分类进损益的其他综合收益||11,881,521.86|-49,414,810.47
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||11,881,521.86|-49,414,810.47
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-747,044.57|-2,769,086.39
（1）权益法下可转损益的其他综合收益||-747,044.57|-2,769,086.39
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
page|62
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||366,296,257.35|264,437,378.10
（一）归属于母公司所有者的综合收益总额||380,860,205.20|274,294,030.37
（二）归属于少数股东的综合收益总额||-14,563,947.85|-9,856,652.27
八、每股收益：|||
（一）基本每股收益(元/股)||0.3521|0.3109
（二）稀释每股收益(元/股)||0.3521|0.3109
