page|102
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,709,545,756.06|1,439,911,735.11
结算备付金||
拆出资金||
交易性金融资产||5,500,000.00
衍生金融资产||
应收票据||
应收账款|291,710,424.95|153,177,497.93
应收款项融资|400,000.00|4,077,572.76
预付款项|361,968,107.30|935,573,141.43
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|140,628,566.96|240,064,249.97
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,575,075,775.95|1,884,169,267.87
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|914,535,384.20|950,900,663.71
流动资产合计|4,993,864,015.42|5,613,374,128.78
非流动资产：||
发放贷款和垫款||
page|103
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
债权投资|286,386,839.33|194,711,450.99
其他债权投资||
长期应收款||
长期股权投资|21,555,241.38|28,752,103.89
其他权益工具投资|85,467,487.19|91,688,676.97
其他非流动金融资产||
投资性房地产|10,813,131,179.35|6,592,663,179.38
固定资产|2,789,792,503.64|4,928,107,450.95
在建工程|3,905,531,360.73|1,025,255,719.36
生产性生物资产||
油气资产||
使用权资产|3,858,547,850.32|
无形资产|2,651,382,861.85|2,950,417,482.22
开发支出|33,016,673.73|32,423,715.94
商誉|871,722,927.59|947,401,208.61
长期待摊费用|1,487,358,264.95|1,703,252,377.28
递延所得税资产|195,730,659.23|93,791,671.34
其他非流动资产|349,755,643.52|349,284,806.20
非流动资产合计|27,349,379,492.81|18,937,749,843.13
资产总计|32,343,243,508.23|24,551,123,971.91
流动负债：||
短期借款|7,888,471,501.21|7,399,611,164.62
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|657,314,004.15|310,291,687.12
应付账款|3,569,241,144.76|2,881,113,876.54
预收款项||
合同负债|1,818,457,570.00|1,449,879,250.38
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
page|104
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
代理承销证券款||
应付职工薪酬|103,204,071.99|126,235,525.58
应交税费|78,017,523.38|79,991,382.43
其他应付款|3,216,210,301.58|2,044,630,126.98
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|798,186,800.18|301,855,396.43
其他流动负债|197,214,492.83|188,277,923.95
流动负债合计|18,326,317,410.08|14,781,886,334.03
非流动负债：||
保险合同准备金||
长期借款|1,571,165,821.69|1,763,092,572.58
应付债券||
其中：优先股||
永续债||
租赁负债|4,060,381,036.70|
长期应付款|3,504,374.50|29,044,368.92
长期应付职工薪酬||
预计负债||13,000,000.00
递延收益|17,604,363.52|15,207,768.87
递延所得税负债|744,838,540.11|350,607,001.28
其他非流动负债||
非流动负债合计|6,397,494,136.52|2,170,951,711.65
负债合计|24,723,811,546.60|16,952,838,045.68
所有者权益：||
股本|863,903,951.00|863,903,951.00
其他权益工具||
其中：优先股||
永续债||
资本公积|3,617,454,748.65|3,626,175,009.79
page|105
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
减：库存股|399,989,903.55|299,910,373.58
其他综合收益|2,693,127,698.54|1,716,116,212.12
专项储备||
盈余公积|314,212,887.62|314,229,617.62
一般风险准备||
未分配利润|174,455,642.04|1,093,774,086.68
归属于母公司所有者权益合计|7,263,165,024.30|7,314,288,503.63
少数股东权益|356,266,937.33|283,997,422.60
所有者权益合计|7,619,431,961.63|7,598,285,926.23
负债和所有者权益总计|32,343,243,508.23|24,551,123,971.91
