page|115
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
page|116
销售商品、提供劳务收到的现金|2,181,174,581.21|3,076,163,752.28
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|532,193.03|32,075.72
收到其他与经营活动有关的现金|477,039,429.03|244,838,090.24
经营活动现金流入小计|2,658,746,203.27|3,321,033,918.24
购买商品、接受劳务支付的现金|1,963,732,590.27|2,685,867,396.70
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|160,265,595.23|269,239,816.78
支付的各项税费|112,581,674.02|189,522,219.16
支付其他与经营活动有关的现金|414,273,855.59|249,328,021.72
经营活动现金流出小计|2,650,853,715.11|3,393,957,454.36
经营活动产生的现金流量净额|7,892,488.16|-72,923,536.12
二、投资活动产生的现金流量：||
收回投资收到的现金|38,869,970.62|20,411,350.13
取得投资收益收到的现金|9,234,551.32|49,809,614.64
处置固定资产、无形资产和其他长期资产收回的现金净额|21,709,065.61|27,213,928.99
page|117
处置子公司及其他营业单位收到的现金净额|17,044,221.64|
收到其他与投资活动有关的现金|896,124,462.16|1,926,192,133.45
投资活动现金流入小计|982,982,271.35|2,023,627,027.21
购建固定资产、无形资产和其他长期资产支付的现金|4,963,314.91|8,772,843.90
投资支付的现金|171,383,424.61|5,975,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|859,347,028.11|1,130,133,118.52
投资活动现金流出小计|1,035,693,767.63|1,144,880,962.42
投资活动产生的现金流量净额|-52,711,496.28|878,746,064.79
三、筹资活动产生的现金流量：||
吸收投资收到的现金|4,440,000.00|13,800,000.00
其中：子公司吸收少数股东投资收到的现金|4,440,000.00|13,800,000.00
取得借款收到的现金|1,225,777,687.98|1,886,018,909.93
收到其他与筹资活动有关的现金|33,202,592.11|126,734,545.41
筹资活动现金流入小计|1,263,420,280.09|2,026,553,455.34
偿还债务支付的现金|1,553,897,250.80|2,368,584,400.18
分配股利、利润或偿付利息支付的现金|89,981,842.85|311,734,841.86
其中：子公司支付给少数股东的股利、利润|380,000.00|
支付其他与筹资活动有关的现金|7,129,173.29|592,519,685.73
筹资活动现金流出小计|1,651,008,266.94|3,272,838,927.77
筹资活动产生的现金流量净额|-387,967,986.85 5|-1,246,285,472.43
四、汇率变动对现金及现金等价物的影响||-2,662,123.04
五、现金及现金等价物净增加额|-432,406,994.97|-443,125,066.80
加：期初现金及现金等价物余额|750,678,836.48|1,193,803,903.28
六、期末现金及现金等价物余额|318,271,841.51|750,678,836.48
