page|89
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|52,523,769.25|479,582,283.76
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
page|90
应收票据|7,248,229.25|8,730,365.34
应收账款|612,805,876.00|602,981,121.38
应收款项融资|6,548,748.86|
预付款项|157,617,477.71|134,674,869.13
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|139,905,230.99|48,879,967.85
其中：应收利息||
应收股利||
买入返售金融资产||
存货|131,972,069.18|178,300,238.38
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|39,876,255.56|1,398,738.19
流动资产合计|1,148,497,656.80|1,454,547,584.03
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|1,000,000.00|
其他非流动金融资产||
投资性房地产|1,839,032,598.00|2,043,693,718.24
固定资产|245,160,754.22|350,215,625.84
在建工程||
生产性生物资产||
油气资产||
使用权资产|21,796,811.24|
无形资产|202,522,325.56|174,519,642.06
开发支出||
商誉||
page|91
长期待摊费用|18,673,885.80|24,822,211.25
递延所得税资产|37,944,898.99|22,937,720.52
其他非流动资产|66,627,569.72|30,574,753.80
非流动资产合计|2,432,758,843.53|2,646,763,671.71
资产总计|3,581,256,500.33|4,101,311,255.74
流动负债：||
短期借款|441,686,738.60|625,492,416.49
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|92,905,283.64|15,109,632.09
应付账款|233,047,798.42|229,746,533.65
预收款项|16,008,286.21|2,294,730.39
合同负债|27,751,536.63|51,879,612.65
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|24,703,100.00|18,380,697.98
应交税费|157,653,017.80|136,975,954.75
其他应付款|237,797,958.97|56,740,439.67
其中：应付利息|4,970,790.71|
应付股利|967,508.04|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|88,464,331.67|67,909,843.15
其他流动负债|2,541,887.67|4,462,286.63
流动负债合计|1,322,559,939.61|1,208,992,147.45
非流动负债：||
保险合同准备金||
长期借款|827,983,950.04|864,284,277.79
应付债券||
page|92
其中：优先股||
永续债||
租赁负债|13,019,187.49|
长期应付款||30,890,156.73
长期应付职工薪酬||
预计负债|17,165,000.00|
递延收益|32,818,290.85|38,188,978.35
递延所得税负债|150,305,126.67|185,265,706.38
其他非流动负债|29,853,614.45|28,123,681.45
非流动负债合计|1,071,145,169.50|1,146,752,800.70
负债合计|2,393,705,109.11|2,355,744,948.15
所有者权益：||
股本|154,529,613.00|154,550,613.00
其他权益工具||
其中：优先股||
永续债||
资本公积|571,175,174.98|571,237,809.64
减：库存股|14,978,179.00|15,363,424.00
其他综合收益|338,508,009.56|348,547,839.12
专项储备||
盈余公积|50,214,323.20|50,214,323.20
一般风险准备||
未分配利润|-152,695,288.88|351,231,398.84
归属于母公司所有者权益合计|946,753,652.86|1,460,418,559.80
少数股东权益|240,797,738.36|285,147,747.79
所有者权益合计|1,187,551,391.22|1,745,566,307.59
负债和所有者权益总计|3,581,256,500.33|4,101,311,255.74
