page|84
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|23,689,941,700.73|29,846,288,735.98
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||11,302.64
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|30,100,267.19|27,467,511.94
收到其他与经营活动有关的现金|2,045,474,264.51|3,383,881,018.74
经营活动现金流入小计|25,765,516,232.43|33,257,648,569.30
购买商品、接受劳务支付的现金|19,888,732,946.47|23,430,231,279.46
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||300,649.82
支付保单红利的现金||
支付给职工以及为职工支付的现金|750,366,694.95|799,308,998.88
支付的各项税费|958,564,622.90|1,082,157,851.75
支付其他与经营活动有关的现金|3,724,899,356.36|7,530,693,963.33
经营活动现金流出小计|25,322,563,620.68|32,842,692,743.24
经营活动产生的现金流量净额|442,952,611.75|414,955,826.06
二、投资活动产生的现金流量：||
page|85
收回投资收到的现金|734,400.00|
取得投资收益收到的现金|20,436,664.97|28,857,749.61
处置固定资产、无形资产和其他长期资产收回的现金净额|13,353,850.18|2,186,302.46
处置子公司及其他营业单位收到的现金净额|181,952,820.99|349,366,949.31
收到其他与投资活动有关的现金|63,719,560.00|233,201,621.35
投资活动现金流入小计|280,197,296.14|613,612,622.73
购建固定资产、无形资产和其他长期资产支付的现金|461,085,764.44|640,146,399.15
投资支付的现金|49,500,000.00|410,081,333.33
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|173,273,712.10|359,966,469.03
支付其他与投资活动有关的现金|179,850,640.35|176,129,741.52
投资活动现金流出小计|863,710,116.89|1,586,323,943.03
投资活动产生的现金流量净额|-583,512,820.75|-972,711,320.30
三、筹资活动产生的现金流量：||
吸收投资收到的现金|2,950,000.00|123,217,882.29
其中：子公司吸收少数股东投资收到的现金|2,950,000.00|122,544,934.61
取得借款收到的现金|6,528,261,572.95|9,600,139,041.86
收到其他与筹资活动有关的现金|13,022,679,761.89|12,387,354,245.75
筹资活动现金流入小计|19,553,891,334.84|22,110,711,169.90
偿还债务支付的现金|6,813,434,748.29|9,801,618,076.67
分配股利、利润或偿付利息支付的现金|383,270,308.79|376,331,049.73
其中：子公司支付给少数股东的股利、利润|66,958,182.26|29,769,193.89
支付其他与筹资活动有关的现金|12,407,602,117.82|13,014,256,378.92
筹资活动现金流出小计|19,604,307,174.90|23,192,205,505.32
筹资活动产生的现金流量净额|-50,415,840.06|-1,081,494,335.42
四、汇率变动对现金及现金等价物的影响|-1,504.51|1,566.03
五、现金及现金等价物净增加额|-190,977,553.57|-1,639,248,263.63
加：期初现金及现金等价物余额|1,027,210,523.31|2,666,458,786.94
page|86
六、期末现金及现金等价物余额|836,232,969.74|1,027,210,523.31
