page|70
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,218,329,118.53|1,237,964,444.62
结算备付金||
拆出资金||
交易性金融资产|1,133,303,615.55|1,404,141,656.09
衍生金融资产||
应收票据||
应收账款|819,208,724.22|1,322,122,051.04
应收款项融资|9,269,127.00|860,000.00
预付款项|155,179,984.63|117,199,022.43
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|768,496,737.40|712,309,965.32
其中：应收利息|715,417.91|848,908.15
应收股利|4,385,362.05|4,385,362.05
买入返售金融资产||
存货|1,562,797,929.73|1,189,183,959.49
合同资产||
持有待售资产||
page|71
一年内到期的非流动资产||
其他流动资产|235,996,700.14|334,243,528.23
流动资产合计|5,902,581,937.20|6,318,024,627.22
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|187,836,448.78|265,209,492.70
其他权益工具投资|115,739,635.87|136,861,291.62
其他非流动金融资产|2,616,320.00|29,036,580.00
投资性房地产|888,666,762.14|913,921,374.42
固定资产|484,069,937.40|505,644,558.83
在建工程|266,071,676.58|259,645,820.86
生产性生物资产||
油气资产||
使用权资产|1,779,225,476.70|
无形资产|223,424,538.35|228,390,147.95
开发支出|42,257,621.00|26,211,356.00
商誉|677,801,185.46|868,093,991.25
长期待摊费用|46,307,418.24|50,983,774.71
递延所得税资产|130,095,814.52|37,019,616.63
其他非流动资产|3,805,153.00|3,578,467.00
非流动资产合计|4,847,917,988.04|3,324,596,471.97
资产总计|10,750,499,925.24|9,642,621,099.19
流动负债：||
短期借款|1,495,050,927.55|1,476,673,486.02
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||30,000,000.00
应付账款|1,754,294,892.22|2,306,635,990.22
预收款项|2,554,554.97|1,912,955.48
page|72
合同负债|289,084,227.18|344,587,336.70
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|152,805,243.60|169,001,915.03
应交税费|197,243,366.04|303,683,566.01
其他应付款|363,189,718.68|561,296,630.78
其中：应付利息|0.00|
应付股利|2,989,144.60|3,695,177.71
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|2,345,000,716.14|1,107,784,196.80
其他流动负债|127,774,014.60|151,120,502.69
流动负债合计|6,726,997,660.98|6,452,696,579.73
非流动负债：||
保险合同准备金||
长期借款|11,750,396.00|13,625,643.00
应付债券||
其中：优先股||
永续债||
租赁负债|1,204,266,749.10|
长期应付款||11,757.00
长期应付职工薪酬||
预计负债|639,349,915.69|524,834,175.70
递延收益||
递延所得税负债|47,688,704.79|51,659,918.59
其他非流动负债|9,658,517.00|22,191,201.00
非流动负债合计|1,912,714,282.58|612,322,695.29
负债合计|8,639,711,943.56|7,065,019,275.02
所有者权益：||
股本|2,177,149,675.00|2,177,149,675.00
其他权益工具||
page|73
其中：优先股||
永续债||
资本公积|3,177,378,516.44|3,092,486,052.58
减：库存股||
其他综合收益|-86,130,351.42|-103,121,663.27
专项储备||
盈余公积|26,687,004.08|26,687,004.08
一般风险准备||
未分配利润|-3,750,458,779.48|-3,177,801,242.54
归属于母公司所有者权益合计|1,544,626,064.62|2,015,399,825.85
少数股东权益|566,161,917.06|562,201,998.32
所有者权益合计|2,110,787,981.68|2,577,601,824.17
负债和所有者权益总计|10,750,499,925.24|9,642,621,099.19
