page|89
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,170,951,328.18|5,225,626,635.88
客户存款和同业存放款项净增加额||0.00|0.00
向中央银行借款净增加额||0.00|0.00
向其他金融机构拆入资金净增加额||0.00|0.00
收到原保险合同保费取得的现金||0.00|0.00
收到再保业务现金净额||0.00|0.00
保户储金及投资款净增加额||0.00|0.00
收取利息、手续费及佣金的现金||0.00|0.00
拆入资金净增加额||0.00|0.00
回购业务资金净增加额||0.00|0.00
代理买卖证券收到的现金净额||0.00|0.00
收到的税费返还||33,955,179.24|47,257,020.51
收到其他与经营活动有关的现金|七：78|110,249,262.81|241,870,672.96
经营活动现金流入小计||7,315,155,770.23|5,514,754,329.35
购买商品、接受劳务支付的现金||6,082,357,024.64|4,177,877,236.85
客户贷款及垫款净增加额||0.00|0.00
存放中央银行和同业款项净增加额||0.00|0.00
支付原保险合同赔付款项的现金||0.00|0.00
拆出资金净增加额||0.00|0.00
支付利息、手续费及佣金的现金||0.00|0.00
支付保单红利的现金||0.00|0.00
支付给职工及为职工支付的现金||462,729,839.20|320,109,218.70
支付的各项税费||143,620,976.62|152,359,096.55
支付其他与经营活动有关的现金|七：78|244,609,158.57|274,777,955.54
经营活动现金流出小计||6,933,316,999.03|4,925,123,507.64
经营活动产生的现金流量净额||381,838,771.20|589,630,821.71
二、投资活动产生的现金流量：|||
收回投资收到的现金||3,242,265,000.00|4,661,059,030.00
取得投资收益收到的现金||7,480,578.21|14,355,512.59
page|90
处置固定资产、无形资产和其他长期资产收回的现金净额||371,308.66|95,214,900.00
处置子公司及其他营业单位收到的现金净额||10,894,254.93|57,110,628.48
收到其他与投资活动有关的现金||0.00|0.00
投资活动现金流入小计||3,261,011,141.80|4,827,740,071.07
购建固定资产、无形资产和其他长期资产支付的现金||260,913,616.72|334,720,282.91
投资支付的现金||3,311,630,749.62|5,391,256,262.50
质押贷款净增加额||0.00|0.00
取得子公司及其他营业单位支付的现金净额||0.00|0.00
支付其他与投资活动有关的现金||0.00|0.00
投资活动现金流出小计||3,572,544,366.34|5,725,976,545.41
投资活动产生的现金流量净额||-311,533,224.54|-898,236,474.34
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||114,934,500.00|33,241,500.00
其中：子公司吸收少数股东投资收到的现金||0.00|2,812,500.00
取得借款收到的现金||203,800,000.00|316,396,690.65
收到其他与筹资活动有关的现金||0.00|0.00
筹资活动现金流入小计||318,734,500.00|349,638,190.65
偿还债务支付的现金||271,539,149.08|18,367,706.23
分配股利、利润或偿付利息支付的现金||40,057,793.99|73,206,610.99
其中：子公司支付给少数股东的股利、利润||0.00|0.00
支付其他与筹资活动有关的现金|七：78|295,912,178.14|3,901,770.20
筹资活动现金流出小计||607,509,121.21|95,476,087.42
筹资活动产生的现金流量净额||-288,774,621.21|254,162,103.23
四、汇率变动对现金及现金等价物的影响||-334,564.68|-792,611.15
五、现金及现金等价物净增加额||-218,803,639.23|-55,236,160.55
加：期初现金及现金等价物余额||1,409,457,615.90|1,464,693,776.45
六、期末现金及现金等价物余额||1,190,653,976.67|1,409,457,615.90
