page|73
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||783,404,386.92|743,807,675.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现|||
page|74
金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,841,382.00|1,691,896.78
收到其他与经营活动有关的现金||2,835,019,747.49|6,037,214,747.76
经营活动现金流入小计||3,622,265,516.41|6,782,714,320.26
购买商品、接受劳务支付的现金||166,700,028.79|297,516,557.53
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||119,989,401.37|132,368,909.86
支付的各项税费||139,152,719.43|113,879,559.81
支付其他与经营活动有关的现金||4,098,466,683.24|7,406,096,006.63
经营活动现金流出小计||4,524,308,832.83|7,949,861,033.83
经营活动产生的现金流量净额||-902,043,316.42|-1,167,146,713.57
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||1,897,786.28|7,496,787.94
处置固定资产、无形资产和其他长期资产收回的现金净额||84,381.96|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,982,168.24|7,496,787.94
购建固定资产、无形资产和其他长期资产支付的现金||28,070,031.47|27,547,376.31
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||50,976,282.79
支付其他与投资活动有关的现金|||
投资活动现金流出小计||28,070,031.47|78,523,659.10
投资活动产生的现金流||-26,087,863.23|-71,026,871.16
page|75
量净额|||
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||904,073,451.83|1,303,081,815.32
收到其他与筹资活动有关的现金||15,000,000.00|
筹资活动现金流入小计||919,073,451.83|1,303,081,815.32
偿还债务支付的现金||18,269,496.59|51,395,834.35
分配股利、利润或偿付利息支付的现金||65,881,285.63|105,748,685.99
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||37,406,075.08|12,485,394.40
筹资活动现金流出小计||121,556,857.30|169,629,914.74
筹资活动产生的现金流量净额||797,516,594.53|1,133,451,900.58
四、汇率变动对现金及现金等价物的影响||-354,250.57|2,823,779.28
五、现金及现金等价物净增加额||-130,968,835.69|-101,897,904.87
加：期初现金及现金等价物余额||190,753,145.21|292,651,050.08
六、期末现金及现金等价物余额||59,784,309.52|190,753,145.21
