page|138
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,604,580,376.04|193,391,744.25
结算备付金|||
拆出资金|||
交易性金融资产|||
page|139
衍生金融资产|||
应收票据|七、4|36,664,864.44|16,674,466.39
应收账款|七、5|305,402,534.80|270,844,655.56
应收款项融资|七、6|6,323,809.48|31,030,398
预付款项|七、7|12,416,163.86|18,381,545.22
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|5,316,498.83|3,387,916.03
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|430,195,033.73|279,772,294.16
合同资产|七、10|37,682,568.46|38,437,275.25
持有待售资产|||
一年内到期的非流动资产|七、12|680,878|3,886,826
其他流动资产|七、13|93,891,108.30|64,582,999.58
流动资产合计||2,533,153,835.94|920,390,120.44
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|491,591,801.52|446,916,050.68
在建工程|七、22|203,194,968.20|102,137,764.43
生产性生物资产|||
油气资产|||
使用权资产|七、25|85,370,260.72|
无形资产|七、26|22,693,766.10|14,400,314.51
开发支出|||
商誉|||
长期待摊费用|七、29|3,879,906.42|10,512,883.14
递延所得税资产|七、30|30,055,373.69|35,646,374.95
其他非流动资产|七、31|8,392,976.29|26,496,849.97
非流动资产合计||845,179,052.94|636,110,237.68
资产总计||3,378,332,888.88|1,556,500,358.12
流动负债：|||
短期借款|七、32|368,556,725.52|222,278,891.20
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|485,732,324.09|420,101,860.42
page|140
预收款项|||
合同负债|七、38|135,920,612.86|51,917,999.37
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|34,473,039.30|27,056,680.09
应交税费|七、40|3,107,332.11|2,848,132.99
其他应付款|七、41|157,438,927.31|169,840,303.23
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|28,113,103.61|8,650,590.91
其他流动负债|七、44|3,976,199.67|161,797.19
流动负债合计||1,217,318,264.47|902,856,255.40
非流动负债：|||
保险合同准备金|||
长期借款|七、45||9,474,154.80
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|50,443,208.34|
长期应付款|七、48||1,078,092.04
长期应付职工薪酬|||
预计负债|七、50|12,684,501.33|14,470,841.51
递延收益|七、51|88,491,494.14|78,753,663.30
递延所得税负债|||
其他非流动负债|||
非流动负债合计||151,619,203.81|103,776,751.65
负债合计||1,368,937,468.28|1,006,633,007.05
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|590,221,667|442,666,667
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|2,602,660,987.08|892,174,424.64
减：库存股|||
其他综合收益|七、57|-847,045.69|-1,199,744.12
专项储备|七、58|13,451,436.72|12,189,255.49
盈余公积|七、59|899,094.13|899,094.13
一般风险准备|||
未分配利润|七、60|-1,196,990,718.64|-796,862,346.07
归属于母公司所有者权益（或股东权益）合计||2,009,395,420.60|549,867,351.07
少数股东权益|||
page|141
所有者权益（或股东权益）合计||2,009,395,420.60|549,867,351.07
负债和所有者权益（或股东权益）总计||3,378,332,888.88|1,556,500,358.12
