page|165
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|355,568,381.26|349,624,352.63
结算备付金|||
page|166
拆出资金|||
交易性金融资产|七、2|137,026,027.40|425,288,287.65
衍生金融资产|||
应收票据|七、4|400,000.00|10,385,386.66
应收账款|七、5|425,758,554.61|311,133,928.65
应收款项融资|七、6||196,000.00
预付款项|七、7|13,977,173.64|16,489,600.57
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|45,627,837.08|56,514,327.58
其中：应收利息|||39,529.11
应收股利|||
买入返售金融资产|||
存货|七、9|38,314,269.15|76,832,379.36
合同资产|七、10|12,100,386.76|6,408,034.47
持有待售资产|||
一年内到期的非流动资产|七、12|55,596,040.59|111,905,511.38
其他流动资产|七、13|35,233,817.74|19,401,401.64
流动资产合计||1,119,602,488.23|1,384,179,210.59
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|41,782,406.50|81,269,987.89
长期股权投资|七、17|1,055,940.08|47,053.59
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|433,810,490.82|411,873,038.99
在建工程|七、22|6,476,156.05|13,289,052.80
生产性生物资产|||
油气资产|||
使用权资产|七、25|9,849,109.88|
无形资产|七、26|82,801,366.80|47,373,723.40
开发支出|七、27|43,657,344.87|29,639,863.90
商誉|||
长期待摊费用|七、29|1,758,997.99|6,394,629.01
递延所得税资产|七、30|41,130,737.10|13,458,005.41
其他非流动资产|七、31|76,270,440.05|11,135,878.37
非流动资产合计||738,592,990.14|614,481,233.36
资产总计||1,858,195,478.37|1,998,660,443.95
流动负债：|||
短期借款|七、32|100,000,000.00|20,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
page|167
应付票据|七、35|116,043,684.11|9,693,131.80
应付账款|七、36|157,080,809.88|201,202,914.23
预收款项|||
合同负债|七、38|21,166,139.73|60,451,368.16
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|22,851,641.40|23,467,030.25
应交税费|七、40|7,829,576.75|21,133,213.62
其他应付款|七、41|9,233,758.18|8,655,008.66
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|41,641,547.26|103,500,000.00
其他流动负债|||
流动负债合计||475,847,157.31|448,102,666.72
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|269,884.45|
长期应付款|七、48|11,437,526.07|1,000,000.00
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|44,490,017.79|52,217,420.55
递延所得税负债|七、30||9,246.58
其他非流动负债|||
非流动负债合计||56,197,428.31|53,226,667.13
负债合计||532,044,585.62|501,329,333.85
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|77,334,000.00|77,334,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|1,022,692,372.66|1,009,752,379.63
减：库存股|||
其他综合收益|七、57||-61,689.17
专项储备|||
盈余公积|七、59|12,047,571.78|8,937,534.81
一般风险准备|||
未分配利润|七、60|210,925,447.46|396,410,195.91
归属于母公司所有者权益（或股东权益）合计||1,322,999,391.90|1,492,372,421.18
page|168
少数股东权益||3,151,500.85|4,958,688.92
所有者权益（或股东权益）合计||1,326,150,892.75|1,497,331,110.10
负债和所有者权益（或股东权益）总计||1,858,195,478.37|1,998,660,443.95
