page|76
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|41,421,538.82|125,076,183.74
page|77
结算备付金||
拆出资金||
交易性金融资产|90,035,077.78|
衍生金融资产||
应收票据|3,749,699.26|2,678,188.94
应收账款|104,143,518.24|105,497,809.76
应收款项融资||
预付款项|1,270,131.73|1,723,848.11
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|5,737,170.35|6,090,127.31
其中：应收利息||
应收股利||
买入返售金融资产||
存货||
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|118,590.22|
流动资产合计|246,475,726.40|241,066,157.86
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|124,256.73|75,603.32
其他非流动金融资产||
投资性房地产|16,550,024.74|17,579,012.35
固定资产|41,757,149.55|45,311,130.09
在建工程|399,847.38|
生产性生物资产||
油气资产||
page|78
使用权资产|568,833.65|
无形资产|515,184.46|567,867.08
开发支出||
商誉||
长期待摊费用|1,510,063.76|2,421,708.34
递延所得税资产|11,440,797.52|10,041,670.11
其他非流动资产|3,610,400.00|3,368,300.00
非流动资产合计|76,476,557.79|79,365,291.29
资产总计|322,952,284.19|320,431,449.15
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|11,221,414.74|10,015,671.19
预收款项|1,487,500.00|
合同负债|2,167,594.33|4,123,561.04
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|6,342,290.27|14,402,727.61
应交税费|4,315,018.49|2,519,640.14
其他应付款|339,239.24|919,038.67
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|583,872.00|
其他流动负债|130,055.66|247,413.66
流动负债合计|26,586,984.73|32,228,052.31
page|79
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债||
其他非流动负债||
非流动负债合计||
负债合计|26,586,984.73|32,228,052.31
所有者权益：||
股本|141,047,370.00|141,047,370.00
其他权益工具||
其中：优先股||
永续债||
资本公积|38,710,199.25|38,710,199.25
减：库存股|11,697,974.88|11,697,974.88
其他综合收益|-401,346.59|
专项储备||
盈余公积|26,270,748.36|25,167,458.77
一般风险准备||
未分配利润|102,436,303.32|94,976,343.70
归属于母公司所有者权益合计|296,365,299.46|288,203,396.84
少数股东权益||
所有者权益合计|296,365,299.46|288,203,396.84
负债和所有者权益总计|322,952,284.19|320,431,449.15
