page|97
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|4,968,686,824.36|1,180,164,348.06
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|579,807.27|945,668.66
收到其他与经营活动有关的现金|25,757,742.31|25,321,443.82
经营活动现金流入小计|4,995,024,373.94|1,206,431,460.54
购买商品、接受劳务支付的现金|4,392,748,996.96|904,631,385.41
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
page|98
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|114,298,170.83|87,176,984.42
支付的各项税费|38,201,425.81|33,562,775.75
支付其他与经营活动有关的现金|62,411,827.84|57,881,401.33
经营活动现金流出小计|4,607,660,421.44|1,083,252,546.91
经营活动产生的现金流量净额|387,363,952.50|123,178,913.63
二、投资活动产生的现金流量：||
收回投资收到的现金|181,074,627.50|474,383,942.98
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|274,289.00|167,300.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|4,185.52|37,758,468.12
投资活动现金流入小计|181,353,102.02|512,309,711.10
购建固定资产、无形资产和其他长期资产支付的现金|49,600,073.25|54,369,867.68
投资支付的现金|355,900,000.00|470,895,700.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||261,068,704.75
支付其他与投资活动有关的现金||37,500,000.00
投资活动现金流出小计|405,500,073.25|823,834,272.43
投资活动产生的现金流量净额|-224,146,971.23|-311,524,561.33
三、筹资活动产生的现金流量：||
吸收投资收到的现金|414,999,983.81|25,521,183.21
其中：子公司吸收少数股东投资收到的现金||500,000.00
取得借款收到的现金|362,400,722.15|323,419,092.21
收到其他与筹资活动有关的现金|343,346,854.49|211,509,001.72
筹资活动现金流入小计|1,120,747,560.45|560,449,277.14
偿还债务支付的现金|861,191,182.99|258,097,759.72
分配股利、利润或偿付利息支付的现金|16,339,021.19|22,111,445.74
page|99
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|273,661,001.00|196,367,804.27
筹资活动现金流出小计|1,151,191,205.18|476,577,009.73
筹资活动产生的现金流量净额|-30,443,644.73|83,872,267.41
四、汇率变动对现金及现金等价物的影响|-3,547,476.48|-1,718,280.06
五、现金及现金等价物净增加额|129,225,860.06|-106,191,660.35
加：期初现金及现金等价物余额|94,935,554.61|201,127,214.96
六、期末现金及现金等价物余额|224,161,414.67|94,935,554.61
