page|89
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,404,450,215.61|2,918,434,553.60
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金||3,382,700.66|4,358,500.00
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,174,335.31|98,618.83
收到其他与经营活动有关的现金||181,271,533.57|229,888,451.94
经营活动现金流入小计||3,590,278,785.15|3,152,780,124.37
购买商品、接受劳务支付的现金||2,387,775,270.81|1,403,682,184.12
客户贷款及垫款净增加额||13,989,000.00|
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的|||
page|90
现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||391,278,495.16|302,771,150.37
支付的各项税费||430,783,546.70|436,567,121.00
支付其他与经营活动有关的现金||800,389,413.42|854,581,643.72
经营活动现金流出小计||4,024,215,726.09|2,997,602,099.21
经营活动产生的现金流量净额||-433,936,940.94|155,178,025.16
二、投资活动产生的现金流量：|||
收回投资收到的现金||27,938,275.00|256,455,000.00
取得投资收益收到的现金||14,013,590.01|3,741,647.81
处置固定资产、无形资产和其他长期资产收回的现金净额||3,697,576.66|872,066.78
处置子公司及其他营业单位收到的现金净额||373,000,000.00|50,000,000.00
收到其他与投资活动有关的现金||393,900,000.00|
投资活动现金流入小计||812,549,441.67|311,068,714.59
购建固定资产、无形资产和其他长期资产支付的现金||448,630,759.51|868,649,344.85
投资支付的现金||785,178,275.00|893,305,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||1,233,809,034.51|1,761,954,344.85
投资活动产生的现金流量净额||-421,259,592.84|-1,450,885,630.26
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,227,999,917.28|101,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||860,000,000.00|2,140,000,000.00
收到其他与筹资活动有关的现金||88,143.94|1,212,143.21
筹资活动现金流入小计||2,088,088,061.22|2,242,212,143.21
偿还债务支付的现金||1,134,000,000.00|1,617,886,295.00
分配股利、利润或偿付利息支付的现金||143,725,137.93|332,218,446.18
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||12,906,137.38|
page|91
筹资活动现金流出小计||1,290,631,275.31|1,950,104,741.18
筹资活动产生的现金流量净额||797,456,785.91|292,107,402.03
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-57,739,747.87|-1,003,600,203.07
加：期初现金及现金等价物余额||1,501,860,281.24|2,505,460,484.31
六、期末现金及现金等价物余额||1,444,120,533.37|1,501,860,281.24
