page|123
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||123,299,783,558.92|95,345,891,665.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|5,058,542,080.28|6,048,716,388.40
经营活动现金流入小计||128,358,325,639.20|101,394,608,053.55
购买商品、接受劳务支付的现金||115,409,169,052.23|89,002,550,213.14
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||5,977,184,102.48|5,163,692,162.69
支付的各项税费||3,762,731,559.96|2,568,161,697.55
支付其他与经营活动有关的现金|七、78|6,269,196,156.45|7,328,791,177.87
经营活动现金流出小计||131,418,280,871.12|104,063,195,251.25
经营活动产生的现金流量净额|七、79|-3,059,955,231.92|-2,668,587,197.70
二、投资活动产生的现金流量：|||
收回投资收到的现金||64,625,570.42|15,261,400.00
取得投资收益收到的现金||17,395,280.71|102,830,151.61
处置固定资产、无形资产和其他长期资产收回的现金净额||79,624,470.64|24,253,862.48
处置子公司及其他营业单位收到的现金净额|||113,171,937.90
page|124
项目|附注|2021年度|2020年度
收到其他与投资活动有关的现金|七、78|3,050,004,821.34|21,825,193,254.95
投资活动现金流入小计||3,211,650,143.11|22,080,710,606.94
购建固定资产、无形资产和其他长期资产支付的现金||941,592,665.90|1,430,744,970.31
投资支付的现金||387,813,513.30|1,985,983,150.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||39,573,120.89|
支付其他与投资活动有关的现金|七、78|3,677,184,303.31|11,440,044,065.47
投资活动现金流出小计||5,046,163,603.40|14,856,772,185.78
投资活动产生的现金流量净额||-1,834,513,460.29|7,223,938,421.16
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,190,238,544.78|243,227,402.85
其中：子公司吸收少数股东投资收到的现金||2,103,154,206.13|243,227,402.85
取得借款收到的现金||16,606,870,365.76|15,614,743,751.29
收到其他与筹资活动有关的现金|七、78|2,647,828,221.78|5,409,431,969.00
筹资活动现金流入小计||23,444,937,132.32|21,267,403,123.14
偿还债务支付的现金||11,867,256,290.31|17,585,876,946.77
分配股利、利润或偿付利息支付的现金||1,913,300,091.69|1,861,141,057.21
其中：子公司支付给少数股东的股利、利润||79,748,255.28|11,921,880.52
支付其他与筹资活动有关的现金|七、78|3,651,108,777.87|5,920,340,960.90
筹资活动现金流出小计||17,431,665,159.87|25,367,358,964.88
筹资活动产生的现金流量净额||6,013,271,972.45|-4,099,955,841.74
四、汇率变动对现金及现金等价物的影响||-9,500,755.17|-1,903,440.29
五、现金及现金等价物净增加额  七、79||1,109,302,525.07|453,491,941.43
加：期初现金及现金等价物余额|七、79|15,459,021,615.29|15,005,529,673.86
六、期末现金及现金等价物余额  七、79||16,568,324,140.36|15,459,021,615.29
