page|81
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|222,399,395.60|248,443,307.62
结算备付金||
拆出资金||
交易性金融资产|10,000,000.00|30,000,000.00
衍生金融资产||
应收票据|1,361,510.75|781,882.03
应收账款|190,763,923.27|272,345,654.17
应收款项融资|165,921,091.40|125,984,286.57
预付款项|31,237,805.71|45,318,145.49
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|92,195,505.35|14,784,001.68
其中：应收利息||
应收股利||
买入返售金融资产||
存货|617,757,938.26|437,920,349.34
合同资产||
持有待售资产||48,761,856.51
一年内到期的非流动资产||
其他流动资产|75,157,074.23|99,915,963.09
流动资产合计|1,406,794,244.57|1,324,255,446.50
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
page|82
长期应收款||
长期股权投资||
其他权益工具投资|13,763,490.85|13,763,490.85
其他非流动金融资产||
投资性房地产||
固定资产|654,154,559.32|481,235,057.00
在建工程|135,575,733.32|251,729,696.72
生产性生物资产||
油气资产||
使用权资产||
无形资产|119,029,273.04|103,142,998.94
开发支出||
商誉|49,380,768.57|49,380,768.57
长期待摊费用|16,646,008.24|5,291,735.25
递延所得税资产|5,210,418.50|2,654,474.71
其他非流动资产|14,634,580.21|41,801,209.10
非流动资产合计|1,008,394,832.05|948,999,431.14
资产总计|2,415,189,076.62|2,273,254,877.64
流动负债：||
短期借款|508,646,166.84|475,365,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|360,051,000.00|356,570,500.00
应付账款|76,426,731.03|58,971,882.73
预收款项||3,629,211.96
合同负债|14,833,418.86|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|2,978,926.84|3,189,895.67
应交税费|8,330,829.44|1,507,451.83
page|83
其他应付款|13,990,908.99|14,923,505.72
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|36,800,000.00|40,000,433.47
其他流动负债|4,771,598.36|443,370.83
流动负债合计|1,026,829,580.36|954,601,252.21
非流动负债：||
保险合同准备金||
长期借款|135,200,000.00|92,000,000.00
应付债券|256,248,645.74|232,020,298.82
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|10,035,470.66|10,269,970.61
递延所得税负债|111,726.58|4,163,909.82
其他非流动负债||
非流动负债合计|401,595,842.98|338,454,179.25
负债合计|1,428,425,423.34|1,293,055,431.46
所有者权益：||
股本|273,642,296.00|274,601,600.00
其他权益工具|65,643,695.59|65,632,250.43
其中：优先股||
永续债||
资本公积|202,897,655.07|213,061,601.00
减：库存股||
其他综合收益||
专项储备|29,445,571.16|23,929,555.22
盈余公积|47,909,123.94|45,936,308.46
page|84
一般风险准备||
未分配利润|367,225,311.52|341,345,094.47
归属于母公司所有者权益合计|986,763,653.28|964,506,409.58
少数股东权益||15,693,036.60
所有者权益合计|986,763,653.28|980,199,446.18
负债和所有者权益总计|2,415,189,076.62|2,273,254,877.64
