page|142
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,795,876,436.88|1,287,590,245.62
结算备付金||
拆出资金||
交易性金融资产|210,706,244.77|29,746,419.19
衍生金融资产||
应收票据|118,786,314.31|69,986,165.66
应收账款|2,565,717,249.17|2,584,765,091.75
应收款项融资|10,639,169.59|21,450,757.54
预付款项|23,797,493.36|30,056,464.06
page|143
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|117,932,660.31|119,006,548.52
其中：应收利息||
应收股利||
买入返售金融资产||
存货|371,679,613.57|288,835,318.36
合同资产|2,601,804,741.53|1,897,818,386.56
持有待售资产||
一年内到期的非流动资产||
其他流动资产|31,214,473.09|16,037,483.14
流动资产合计|7,848,154,396.58|6,345,292,880.40
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|94,100,838.97|82,004,006.22
其他权益工具投资|12,494,587.00|7,494,700.00
其他非流动金融资产||
投资性房地产|115,039,149.87|
固定资产|233,437,452.64|354,623,190.16
在建工程|255,411,112.01|39,118,002.10
生产性生物资产||
油气资产||
使用权资产|61,848,002.81|
无形资产|312,375,935.55|339,251,833.95
开发支出||
商誉|93,204,881.13|84,967,176.50
长期待摊费用|1,347,246.20|797,781.46
递延所得税资产|4,425,685.48|4,410,819.12
其他非流动资产|163,336,155.17|44,415,267.41
非流动资产合计|1,347,021,046.83|957,082,776.92
page|144
资产总计|9,195,175,443.41|7,302,375,657.32
流动负债：||
短期借款|1,777,916,397.57|1,440,732,571.37
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|187,078,922.90|309,457,305.22
应付账款|1,176,926,663.45|1,089,190,076.50
预收款项||214,423.08
合同负债|217,529,210.77|231,564,342.47
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|49,795,151.66|41,844,883.53
应交税费|366,288,989.74|392,513,439.56
其他应付款|172,926,183.13|137,132,593.48
其中：应付利息||
应付股利|12,145,086.66|4,660,194.18
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|72,042,155.24|97,500,000.00
其他流动负债|230,162,579.45|105,677,195.74
流动负债合计|4,250,666,253.91|3,845,826,830.95
非流动负债：||
保险合同准备金||
长期借款|42,505,000.00|
应付债券|898,115,259.04|
其中：优先股||
永续债||
租赁负债|48,529,293.22|
长期应付款|195,331,282.31|2,288,344.44
page|145
长期应付职工薪酬||
预计负债|7,504,931.26|12,862,582.11
递延收益|3,309,502.01|3,650,131.09
递延所得税负债|749,983.05|
其他非流动负债||
非流动负债合计|1,196,045,250.89|18,801,057.64
负债合计|5,446,711,504.80|3,864,627,888.59
所有者权益：||
股本|720,541,489.00|721,445,836.00
其他权益工具|227,195,789.76|
其中：优先股||
永续债||
资本公积|1,300,847,304.85|1,325,252,131.09
减：库存股|32,479,226.00|73,104,079.81
其他综合收益|4,249,903.95|
专项储备||
盈余公积|153,957,939.74|144,898,800.70
一般风险准备||
未分配利润|1,265,150,137.97|1,209,002,412.24
归属于母公司所有者权益合计|3,639,463,339.27|3,327,495,100.22
少数股东权益|109,000,599.34|110,252,668.51
所有者权益合计|3,748,463,938.61|3,437,747,768.73
负债和所有者权益总计|9,195,175,443.41|7,302,375,657.32
