page|75
项目|2023 年度|2022 年度
一、营业总收入|332,301,707.73|516,902,632.16
其中：营业收入|332,301,707.73|516,902,632.16
利息收入|0.00|0.00
已赚保费|0.00|0.00
手续费及佣金收入|0.00|0.00
二、营业总成本|278,237,854.22|346,884,975.18
其中：营业成本|227,299,925.65|275,033,327.54
利息支出|0.00|0.00
手续费及佣金支出|0.00|0.00
退保金|0.00|0.00
赔付支出净额|0.00|0.00
提取保险责任合同准备金净额|0.00|0.00
保单红利支出|0.00|0.00
分保费用|0.00|0.00
税金及附加|3,390,404.86|5,816,671.30
销售费用|17,072,553.15|18,281,403.90
page|76
管理费用|31,591,036.58|30,014,147.94
研发费用|23,229,922.63|22,195,186.20
财务费用|-24,345,988.65|-4,455,761.70
其中：利息费用|127,109.17|924,318.64
利息收入|24,810,079.30|2,637,477.69
加：其他收益|87,500,285.18|57,976,136.46
投资收益（损失以“－”号填列）|0.00|-209,183.34
其中：对联营企业和合营企业的投资收益|0.00|0.00
以摊余成本计量的金融资产终止确认收益|0.00|0.00
汇兑收益（损失以“-”号填列）|0.00|0.00
净敞口套期收益（损失以“－”号填列）|0.00|0.00
公允价值变动收益（损失以“－”号填列）|0.00|0.00
信用减值损失（损失以“-”号填列）|-23,165,306.36|-14,034,800.29
资产减值损失（损失以“-”号填列）|-302,856.33|-970,425.13
资产处置收益（损失以“-”号填列）|0.00|0.00
三、营业利润（亏损以“－”号填列）|118,095,976.00|212,779,384.68
加：营业外收入|11,026,689.28|2,005,777.50
减：营业外支出|1,130,205.50|285,743.23
四、利润总额（亏损总额以“－”号填列）|127,992,459.78|214,499,418.95
减：所得税费用|14,060,140.42|31,282,320.01
五、净利润（净亏损以“－”号填列）|113,932,319.36|183,217,098.94
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|113,932,319.36|183,217,098.94
2.终止经营净利润（净亏损以“－”号填列）|0.00|0.00
（二）按所有权归属分类||
1.归属于母公司股东的净利润|113,932,319.36|183,217,098.94
2.少数股东损益|0.00|0.00
六、其他综合收益的税后净额|0.00|0.00
归属母公司所有者的其他综合收益的税后净额|0.00|0.00
（一）不能重分类进损益的其他综合收益|0.00|0.00
1.重新计量设定受益计划变动额|0.00|0.00
2.权益法下不能转损益的其他综合收益|0.00|0.00
page|77
3.其他权益工具投资公允价值变动|0.00|0.00
4.企业自身信用风险公允价值变动|0.00|0.00
5.其他|0.00|0.00
（二）将重分类进损益的其他综合收益|0.00|0.00
1.权益法下可转损益的其他综合收益|0.00|0.00
2.其他债权投资公允价值变动|0.00|0.00
3.金融资产重分类计入其他综合收益的金额|0.00|0.00
4.其他债权投资信用减值准备|0.00|0.00
5.现金流量套期储备|0.00|0.00
6.外币财务报表折算差额|0.00|0.00
7.其他|0.00|0.00
归属于少数股东的其他综合收益的税后净额|0.00|0.00
七、综合收益总额|113,932,319.36|183,217,098.94
归属于母公司所有者的综合收益总额|113,932,319.36|183,217,098.94
归属于少数股东的综合收益总额|0.00|0.00
八、每股收益||
（一）基本每股收益|1.7086|3.6643
（二）稀释每股收益|1.7086|3.6643
